task_name,feature_set,file_id,total_segments,true_fabricated_segments,true_outside_segments,predicted_top_k_segments,top_k_hit_any_fabricated_region,top_k_hit_rate,max_probability_in_true_fabricated_region,max_probability_outside_region,mean_probability_fabricated_region,mean_probability_outside_region,localization_review_note
partial_fabrication_segment_model,acoustic,phase7c1_collection_manifest_000001_ai_001_fabricated,33,6,27,phase7c1_collection_manifest_000001_ai_001_fabricated_w0008;phase7c1_collection_manifest_000001_ai_001_fabricated_w0013;phase7c1_collection_manifest_000001_ai_001_fabricated_w0027;phase7c1_collection_manifest_000001_ai_001_fabricated_w0007;phase7c1_collection_manifest_000001_ai_001_fabricated_w0032,true,0.4,0.659641185813443,0.606211981845756,0.5288761985280183,0.5239864266124541,experimental timestamp-aligned localization summary; not proof of fabrication
partial_fabrication_segment_model,acoustic,phase7c1_collection_manifest_000005_human_001_fabricated,25,5,20,phase7c1_collection_manifest_000005_human_001_fabricated_w0004;phase7c1_collection_manifest_000005_human_001_fabricated_w0003;phase7c1_collection_manifest_000005_human_001_fabricated_w0016;phase7c1_collection_manifest_000005_human_001_fabricated_w0013;phase7c1_collection_manifest_000005_human_001_fabricated_w0007,true,0.2,0.686595583965203,0.7423218359625846,0.5456237445362694,0.6188404348818481,experimental timestamp-aligned localization summary; not proof of fabrication
partial_fabrication_segment_model,acoustic,phase7c1_collection_manifest_000009_ai_002_fabricated,23,4,19,phase7c1_collection_manifest_000009_ai_002_fabricated_w0012;phase7c1_collection_manifest_000009_ai_002_fabricated_w0021;phase7c1_collection_manifest_000009_ai_002_fabricated_w0008;phase7c1_collection_manifest_000009_ai_002_fabricated_w0014;phase7c1_collection_manifest_000009_ai_002_fabricated_w0009,false,0.0,0.49258273150932874,0.5517072368135972,0.45953398033374127,0.4874956992074574,experimental timestamp-aligned localization summary; not proof of fabrication
partial_fabrication_segment_model,acoustic,phase7c1_collection_manifest_000013_human_002_fabricated,20,4,16,phase7c1_collection_manifest_000013_human_002_fabricated_w0005;phase7c1_collection_manifest_000013_human_002_fabricated_w0008;phase7c1_collection_manifest_000013_human_002_fabricated_w0007;phase7c1_collection_manifest_000013_human_002_fabricated_w0001;phase7c1_collection_manifest_000013_human_002_fabricated_w0000,true,0.2,0.6495270410589957,0.6207845788380543,0.44808630959513596,0.5610903036218235,experimental timestamp-aligned localization summary; not proof of fabrication
partial_fabrication_segment_model,acoustic,phase7c1_collection_manifest_000017_ai_003_fabricated,27,4,23,phase7c1_collection_manifest_000017_ai_003_fabricated_w0021;phase7c1_collection_manifest_000017_ai_003_fabricated_w0014;phase7c1_collection_manifest_000017_ai_003_fabricated_w0017;phase7c1_collection_manifest_000017_ai_003_fabricated_w0018;phase7c1_collection_manifest_000017_ai_003_fabricated_w0025,false,0.0,0.4081268681304218,0.565499601187705,0.39445019660029046,0.41273265977847073,experimental timestamp-aligned localization summary; not proof of fabrication
partial_fabrication_segment_model,acoustic,phase7c1_collection_manifest_000021_human_003_fabricated,23,5,18,phase7c1_collection_manifest_000021_human_003_fabricated_w0000;phase7c1_collection_manifest_000021_human_003_fabricated_w0001;phase7c1_collection_manifest_000021_human_003_fabricated_w0022;phase7c1_collection_manifest_000021_human_003_fabricated_w0008;phase7c1_collection_manifest_000021_human_003_fabricated_w0011,false,0.0,0.5168682083895481,0.7135542225002381,0.45786081837466097,0.4736117697340563,experimental timestamp-aligned localization summary; not proof of fabrication
partial_fabrication_segment_model,acoustic,phase7c1_collection_manifest_000025_ai_004_fabricated,28,4,24,phase7c1_collection_manifest_000025_ai_004_fabricated_w0017;phase7c1_collection_manifest_000025_ai_004_fabricated_w0022;phase7c1_collection_manifest_000025_ai_004_fabricated_w0003;phase7c1_collection_manifest_000025_ai_004_fabricated_w0024;phase7c1_collection_manifest_000025_ai_004_fabricated_w0023,true,0.2,0.5903761124287743,0.5944348835694195,0.5526955410945172,0.5028483102500675,experimental timestamp-aligned localization summary; not proof of fabrication
partial_fabrication_segment_model,acoustic,phase7c1_collection_manifest_000029_human_004_fabricated,22,4,18,phase7c1_collection_manifest_000029_human_004_fabricated_w0011;phase7c1_collection_manifest_000029_human_004_fabricated_w0020;phase7c1_collection_manifest_000029_human_004_fabricated_w0012;phase7c1_collection_manifest_000029_human_004_fabricated_w0010;phase7c1_collection_manifest_000029_human_004_fabricated_w0000,true,0.2,0.4917487940845037,0.5726112628718878,0.42023555937360874,0.48228903599545386,experimental timestamp-aligned localization summary; not proof of fabrication
partial_fabrication_segment_model,acoustic,phase7c1_collection_manifest_000033_ai_005_fabricated,31,5,26,phase7c1_collection_manifest_000033_ai_005_fabricated_w0003;phase7c1_collection_manifest_000033_ai_005_fabricated_w0000;phase7c1_collection_manifest_000033_ai_005_fabricated_w0004;phase7c1_collection_manifest_000033_ai_005_fabricated_w0014;phase7c1_collection_manifest_000033_ai_005_fabricated_w0017,false,0.0,0.4911342731620013,0.5973573336396794,0.41018876094646856,0.43758137455776003,experimental timestamp-aligned localization summary; not proof of fabrication
partial_fabrication_segment_model,acoustic,phase7c1_collection_manifest_000037_human_005_fabricated,26,5,21,phase7c1_collection_manifest_000037_human_005_fabricated_w0007;phase7c1_collection_manifest_000037_human_005_fabricated_w0003;phase7c1_collection_manifest_000037_human_005_fabricated_w0004;phase7c1_collection_manifest_000037_human_005_fabricated_w0008;phase7c1_collection_manifest_000037_human_005_fabricated_w0010,false,0.0,0.6807554463565676,0.793802038300465,0.5727701927936936,0.6314476845334275,experimental timestamp-aligned localization summary; not proof of fabrication
partial_fabrication_segment_model,acoustic,phase7c1_collection_manifest_000041_ai_006_fabricated,30,5,25,phase7c1_collection_manifest_000041_ai_006_fabricated_w0018;phase7c1_collection_manifest_000041_ai_006_fabricated_w0003;phase7c1_collection_manifest_000041_ai_006_fabricated_w0019;phase7c1_collection_manifest_000041_ai_006_fabricated_w0002;phase7c1_collection_manifest_000041_ai_006_fabricated_w0020,true,0.2,0.7235696315129373,0.6709857249836965,0.5603481326230062,0.5277337408725876,experimental timestamp-aligned localization summary; not proof of fabrication
