task_name,feature_set,threshold,tn,fp,fn,tp,accuracy,balanced_accuracy,precision,recall,f1,false_positive_rate,false_negative_rate,outside_false_fabricated_rate,fabricated_detected_rate
partial_fabrication_segment_model,acoustic,0.1,9,974,0,224,0.19304059652029826,0.5045778229908443,0.18697829716193656,1.0,0.3150492264416315,0.9908443540183113,0.0,0.9908443540183113,1.0
partial_fabrication_segment_model,acoustic,0.15,17,966,1,223,0.1988400994200497,0.5064148561255631,0.18755256518082422,0.9955357142857143,0.3156404812455768,0.982706002034588,0.004464285714285714,0.982706002034588,0.9955357142857143
partial_fabrication_segment_model,acoustic,0.2,26,957,1,223,0.20629660314830156,0.5109926791164076,0.18898305084745762,0.9955357142857143,0.3176638176638177,0.9735503560528993,0.004464285714285714,0.9735503560528993,0.9955357142857143
partial_fabrication_segment_model,acoustic,0.25,38,945,5,219,0.21292460646230324,0.5081678716756285,0.18814432989690721,0.9776785714285714,0.31556195965417866,0.9613428280773143,0.022321428571428572,0.9613428280773143,0.9776785714285714
partial_fabrication_segment_model,acoustic,0.3,65,918,8,216,0.2328086164043082,0.515204912076733,0.19047619047619047,0.9642857142857143,0.3181148748159057,0.9338758901322483,0.03571428571428571,0.9338758901322483,0.9642857142857143
partial_fabrication_segment_model,acoustic,0.35,99,884,15,209,0.2551781275890638,0.516873910042145,0.19121683440073192,0.9330357142857143,0.31738800303720577,0.8992878942014242,0.06696428571428571,0.8992878942014242,0.9330357142857143
partial_fabrication_segment_model,acoustic,0.4,161,822,35,189,0.2899751449875725,0.5037671668362157,0.18694362017804153,0.84375,0.3060728744939271,0.8362156663275687,0.15625,0.8362156663275687,0.84375
partial_fabrication_segment_model,acoustic,0.45,279,704,72,152,0.35708367854183926,0.4811982270018893,0.17757009345794392,0.6785714285714286,0.2814814814814815,0.71617497456765,0.32142857142857145,0.71617497456765,0.6785714285714286
partial_fabrication_segment_model,acoustic,0.5,479,504,122,102,0.48135874067937034,0.47132048394128756,0.16831683168316833,0.45535714285714285,0.2457831325301205,0.5127161749745677,0.5446428571428571,0.5127161749745677,0.45535714285714285
partial_fabrication_segment_model,acoustic,0.55,684,299,165,59,0.6155758077879039,0.47961097587559953,0.164804469273743,0.26339285714285715,0.2027491408934708,0.3041709053916582,0.7366071428571429,0.3041709053916582,0.26339285714285715
partial_fabrication_segment_model,acoustic,0.6,824,159,189,35,0.7116818558409279,0.49725012716174977,0.18041237113402062,0.15625,0.1674641148325359,0.1617497456765005,0.84375,0.1617497456765005,0.15625
partial_fabrication_segment_model,acoustic,0.65,902,81,210,14,0.7589063794531897,0.4900495930824008,0.14736842105263157,0.0625,0.0877742946708464,0.08240081383519837,0.9375,0.08240081383519837,0.0625
partial_fabrication_segment_model,acoustic,0.7,940,43,220,4,0.7821043910521955,0.4870567504723151,0.0851063829787234,0.017857142857142856,0.02952029520295203,0.04374364191251272,0.9821428571428571,0.04374364191251272,0.017857142857142856
partial_fabrication_segment_model,acoustic,0.75,970,13,224,0,0.8036454018227009,0.4933875890132248,0.0,0.0,0.0,0.013224821973550356,1.0,0.013224821973550356,0.0
partial_fabrication_segment_model,acoustic,0.8,978,5,224,0,0.8102734051367025,0.49745676500508645,0.0,0.0,0.0,0.00508646998982706,1.0,0.00508646998982706,0.0
partial_fabrication_segment_model,acoustic,0.85,981,2,224,0,0.8127589063794531,0.4989827060020346,0.0,0.0,0.0,0.002034587995930824,1.0,0.002034587995930824,0.0
partial_fabrication_segment_model,acoustic,0.9,981,2,224,0,0.8127589063794531,0.4989827060020346,0.0,0.0,0.0,0.002034587995930824,1.0,0.002034587995930824,0.0
partial_fabrication_segment_model,combined,0.1,764,219,9,215,0.8111019055509527,0.8685170215085016,0.49539170506912444,0.9598214285714286,0.6534954407294833,0.22278738555442523,0.04017857142857143,0.22278738555442523,0.9598214285714286
partial_fabrication_segment_model,combined,0.15,795,188,11,213,0.8351284175642087,0.8798207927626798,0.5311720698254364,0.9508928571428571,0.6816,0.19125127161749747,0.049107142857142856,0.19125127161749747,0.9508928571428571
partial_fabrication_segment_model,combined,0.2,827,156,14,210,0.8591549295774648,0.8894010681586979,0.5737704918032787,0.9375,0.711864406779661,0.15869786368260427,0.0625,0.15869786368260427,0.9375
partial_fabrication_segment_model,combined,0.25,849,134,15,209,0.8765534382767192,0.8983591592791745,0.60932944606414,0.9330357142857143,0.7372134038800705,0.1363173957273652,0.06696428571428571,0.1363173957273652,0.9330357142857143
partial_fabrication_segment_model,combined,0.3,857,126,18,206,0.8806959403479702,0.8957319066996077,0.6204819277108434,0.9196428571428571,0.7410071942446043,0.12817904374364192,0.08035714285714286,0.12817904374364192,0.9196428571428571
partial_fabrication_segment_model,combined,0.35,870,113,20,204,0.8898094449047225,0.8978800319720971,0.6435331230283912,0.9107142857142857,0.7541589648798521,0.11495422177009156,0.08928571428571429,0.11495422177009156,0.9107142857142857
partial_fabrication_segment_model,combined,0.4,880,103,28,196,0.8914664457332229,0.8851093591047813,0.6555183946488294,0.875,0.7495219885277247,0.10478128179043744,0.125,0.10478128179043744,0.875
partial_fabrication_segment_model,combined,0.45,890,93,30,194,0.8980944490472246,0.8857315433803226,0.6759581881533101,0.8660714285714286,0.7592954990215264,0.09460834181078331,0.13392857142857142,0.09460834181078331,0.8660714285714286
partial_fabrication_segment_model,combined,0.5,897,86,34,190,0.9005799502899752,0.8803635009446301,0.6884057971014492,0.8482142857142857,0.76,0.08748728382502544,0.15178571428571427,0.08748728382502544,0.8482142857142857
partial_fabrication_segment_model,combined,0.55,904,79,36,188,0.9047224523612262,0.8794597442232234,0.704119850187266,0.8392857142857143,0.7657841140529531,0.08036622583926754,0.16071428571428573,0.08036622583926754,0.8392857142857143
partial_fabrication_segment_model,combined,0.6,914,69,39,185,0.9105219552609777,0.8778497856416219,0.7283464566929134,0.8258928571428571,0.7740585774058577,0.07019328585961343,0.17410714285714285,0.07019328585961343,0.8258928571428571
partial_fabrication_segment_model,combined,0.65,918,65,43,181,0.9105219552609777,0.8709558022089813,0.7357723577235772,0.8080357142857143,0.7702127659574468,0.06612410986775177,0.19196428571428573,0.06612410986775177,0.8080357142857143
partial_fabrication_segment_model,combined,0.7,926,57,48,176,0.9130074565037283,0.8638642639151286,0.7553648068669528,0.7857142857142857,0.7702407002188184,0.05798575788402848,0.21428571428571427,0.05798575788402848,0.7857142857142857
partial_fabrication_segment_model,combined,0.75,935,48,56,168,0.9138359569179785,0.8505849440488301,0.7777777777777778,0.75,0.7636363636363637,0.048830111902339775,0.25,0.048830111902339775,0.75
partial_fabrication_segment_model,combined,0.8,941,42,57,167,0.9179784589892295,0.8514046831855835,0.7990430622009569,0.7455357142857143,0.7713625866050808,0.042726347914547304,0.2544642857142857,0.042726347914547304,0.7455357142857143
partial_fabrication_segment_model,combined,0.85,949,34,67,157,0.9163214581607291,0.8331524306060165,0.8219895287958116,0.7008928571428571,0.7566265060240964,0.03458799593082401,0.29910714285714285,0.03458799593082401,0.7008928571428571
partial_fabrication_segment_model,combined,0.9,955,28,73,151,0.9163214581607291,0.8228114554570557,0.8435754189944135,0.6741071428571429,0.749379652605459,0.028484231943031537,0.32589285714285715,0.028484231943031537,0.6741071428571429
partial_fabrication_segment_model,localization,0.1,593,390,5,219,0.6727423363711682,0.7904669561110303,0.35960591133004927,0.9776785714285714,0.5258103241296519,0.3967446592065107,0.022321428571428572,0.3967446592065107,0.9776785714285714
partial_fabrication_segment_model,localization,0.15,642,341,8,216,0.7108533554266777,0.8086942304897544,0.3877917414721723,0.9642857142857143,0.5531370038412292,0.34689725330620547,0.03571428571428571,0.34689725330620547,0.9642857142857143
partial_fabrication_segment_model,localization,0.2,689,294,10,214,0.748135874067937,0.8281363537276558,0.421259842519685,0.9553571428571429,0.5846994535519126,0.2990844354018311,0.044642857142857144,0.2990844354018311,0.9553571428571429
partial_fabrication_segment_model,localization,0.25,720,263,10,214,0.7738193869096934,0.8439044106961198,0.44863731656184486,0.9553571428571429,0.6105563480741797,0.26754832146490337,0.044642857142857144,0.26754832146490337,0.9553571428571429
partial_fabrication_segment_model,localization,0.3,747,236,12,212,0.7945318972659486,0.8531735939543671,0.4732142857142857,0.9464285714285714,0.6309523809523809,0.24008138351983724,0.05357142857142857,0.24008138351983724,0.9464285714285714
partial_fabrication_segment_model,localization,0.35,774,209,12,212,0.8169014084507042,0.8669070629269001,0.503562945368171,0.9464285714285714,0.6573643410852713,0.2126144455747711,0.05357142857142857,0.2126144455747711,0.9464285714285714
partial_fabrication_segment_model,localization,0.4,797,186,16,208,0.8326429163214581,0.8696773724749309,0.5279187817258884,0.9285714285714286,0.6731391585760518,0.18921668362156663,0.07142857142857142,0.18921668362156663,0.9285714285714286
partial_fabrication_segment_model,localization,0.45,807,176,20,204,0.8376139188069595,0.8658352710361865,0.5368421052631579,0.9107142857142857,0.6754966887417219,0.1790437436419125,0.08928571428571429,0.1790437436419125,0.9107142857142857
partial_fabrication_segment_model,localization,0.5,826,157,24,200,0.8500414250207126,0.8665709925882866,0.5602240896358543,0.8928571428571429,0.6884681583476764,0.15971515768056968,0.10714285714285714,0.15971515768056968,0.8928571428571429
partial_fabrication_segment_model,localization,0.55,843,140,26,198,0.8624689312344657,0.8707537058567069,0.5857988165680473,0.8839285714285714,0.7046263345195729,0.14242115971515767,0.11607142857142858,0.14242115971515767,0.8839285714285714
partial_fabrication_segment_model,localization,0.6,858,125,30,194,0.8715824357912179,0.869454839412876,0.6081504702194357,0.8660714285714286,0.714548802946593,0.1271617497456765,0.13392857142857142,0.1271617497456765,0.8660714285714286
partial_fabrication_segment_model,localization,0.65,871,112,38,186,0.875724937862469,0.8582101075425084,0.6241610738255033,0.8303571428571429,0.7126436781609196,0.11393692777212615,0.16964285714285715,0.11393692777212615,0.8303571428571429
partial_fabrication_segment_model,localization,0.7,892,91,46,178,0.8864954432477217,0.8510345516640023,0.6617100371747212,0.7946428571428571,0.7221095334685599,0.09257375381485249,0.20535714285714285,0.09257375381485249,0.7946428571428571
partial_fabrication_segment_model,localization,0.75,907,76,59,165,0.8881524440762221,0.8296463995058858,0.6846473029045643,0.7366071428571429,0.7096774193548387,0.07731434384537131,0.26339285714285715,0.07731434384537131,0.7366071428571429
partial_fabrication_segment_model,localization,0.8,924,59,69,155,0.8939519469759735,0.8159719699171633,0.7242990654205608,0.6919642857142857,0.7077625570776256,0.06002034587995931,0.3080357142857143,0.06002034587995931,0.6919642857142857
