task_name,feature_set,fold,split_method,train_rows,test_rows,model_type,feature_count,raw_feature_count,usable_feature_count,excluded_all_missing_count,excluded_non_numeric_count,excluded_forbidden_label_derived_count,excluded_all_missing_features,excluded_non_numeric_features,excluded_forbidden_label_derived_features,feature_leakage_check_status,features_preview
partial_fabrication_segment_model,localization,1,StratifiedGroupKFold,961,246,logistic_regression_l2,10,10,10,0,0,0,,,,passed,within_file_acoustic_deviation_score;within_file_ssl_deviation_score;combined_within_file_deviation_score;neighbor_acoustic_transition_score;neighbor_ssl_transition_score;combined_neighbor_transition_score;acoustic_distance_from_file_median;ssl_distance_from_file_median;acoustic_deviation_percentile_within_file;ssl_deviation_percentile_within_file
partial_fabrication_segment_model,localization,2,StratifiedGroupKFold,942,265,logistic_regression_l2,10,10,10,0,0,0,,,,passed,within_file_acoustic_deviation_score;within_file_ssl_deviation_score;combined_within_file_deviation_score;neighbor_acoustic_transition_score;neighbor_ssl_transition_score;combined_neighbor_transition_score;acoustic_distance_from_file_median;ssl_distance_from_file_median;acoustic_deviation_percentile_within_file;ssl_deviation_percentile_within_file
partial_fabrication_segment_model,localization,3,StratifiedGroupKFold,934,273,logistic_regression_l2,10,10,10,0,0,0,,,,passed,within_file_acoustic_deviation_score;within_file_ssl_deviation_score;combined_within_file_deviation_score;neighbor_acoustic_transition_score;neighbor_ssl_transition_score;combined_neighbor_transition_score;acoustic_distance_from_file_median;ssl_distance_from_file_median;acoustic_deviation_percentile_within_file;ssl_deviation_percentile_within_file
partial_fabrication_segment_model,localization,4,StratifiedGroupKFold,985,222,logistic_regression_l2,10,10,10,0,0,0,,,,passed,within_file_acoustic_deviation_score;within_file_ssl_deviation_score;combined_within_file_deviation_score;neighbor_acoustic_transition_score;neighbor_ssl_transition_score;combined_neighbor_transition_score;acoustic_distance_from_file_median;ssl_distance_from_file_median;acoustic_deviation_percentile_within_file;ssl_deviation_percentile_within_file
partial_fabrication_segment_model,localization,5,StratifiedGroupKFold,1006,201,logistic_regression_l2,10,10,10,0,0,0,,,,passed,within_file_acoustic_deviation_score;within_file_ssl_deviation_score;combined_within_file_deviation_score;neighbor_acoustic_transition_score;neighbor_ssl_transition_score;combined_neighbor_transition_score;acoustic_distance_from_file_median;ssl_distance_from_file_median;acoustic_deviation_percentile_within_file;ssl_deviation_percentile_within_file
partial_fabrication_segment_model,acoustic,1,StratifiedGroupKFold,961,246,logistic_regression_l2,18,46,18,28,0,0,spectral_contrast_mean;very_high_band_energy_ratio;mfcc_1_mean;mfcc_1_std;mfcc_2_mean;mfcc_2_std;mfcc_3_mean;mfcc_3_std;mfcc_4_mean;mfcc_4_std;mfcc_5_mean;mfcc_5_std;mfcc_6_mean;mfcc_6_std;mfcc_7_mean;mfcc_7_std;mfcc_8_mean;mfcc_8_std;mfcc_9_mean;mfcc_9_std;mfcc_10_mean;mfcc_10_std;mfcc_11_mean;mfcc_11_std;mfcc_12_mean;mfcc_12_std;mfcc_13_mean;mfcc_13_std,,,passed,rms_mean;rms_std;peak_amplitude;zero_crossing_rate_mean;clipping_ratio;silence_ratio;spectral_centroid_mean;spectral_bandwidth_mean;spectral_rolloff_mean;spectral_flatness_mean;low_band_energy_ratio;mid_band_energy_ratio;high_band_energy_ratio;noise_floor_proxy;snr_proxy;dynamic_range_proxy;spectral_entropy_mean;bandwidth_occupied_95
partial_fabrication_segment_model,acoustic,2,StratifiedGroupKFold,942,265,logistic_regression_l2,18,46,18,28,0,0,spectral_contrast_mean;very_high_band_energy_ratio;mfcc_1_mean;mfcc_1_std;mfcc_2_mean;mfcc_2_std;mfcc_3_mean;mfcc_3_std;mfcc_4_mean;mfcc_4_std;mfcc_5_mean;mfcc_5_std;mfcc_6_mean;mfcc_6_std;mfcc_7_mean;mfcc_7_std;mfcc_8_mean;mfcc_8_std;mfcc_9_mean;mfcc_9_std;mfcc_10_mean;mfcc_10_std;mfcc_11_mean;mfcc_11_std;mfcc_12_mean;mfcc_12_std;mfcc_13_mean;mfcc_13_std,,,passed,rms_mean;rms_std;peak_amplitude;zero_crossing_rate_mean;clipping_ratio;silence_ratio;spectral_centroid_mean;spectral_bandwidth_mean;spectral_rolloff_mean;spectral_flatness_mean;low_band_energy_ratio;mid_band_energy_ratio;high_band_energy_ratio;noise_floor_proxy;snr_proxy;dynamic_range_proxy;spectral_entropy_mean;bandwidth_occupied_95
partial_fabrication_segment_model,acoustic,3,StratifiedGroupKFold,934,273,logistic_regression_l2,18,46,18,28,0,0,spectral_contrast_mean;very_high_band_energy_ratio;mfcc_1_mean;mfcc_1_std;mfcc_2_mean;mfcc_2_std;mfcc_3_mean;mfcc_3_std;mfcc_4_mean;mfcc_4_std;mfcc_5_mean;mfcc_5_std;mfcc_6_mean;mfcc_6_std;mfcc_7_mean;mfcc_7_std;mfcc_8_mean;mfcc_8_std;mfcc_9_mean;mfcc_9_std;mfcc_10_mean;mfcc_10_std;mfcc_11_mean;mfcc_11_std;mfcc_12_mean;mfcc_12_std;mfcc_13_mean;mfcc_13_std,,,passed,rms_mean;rms_std;peak_amplitude;zero_crossing_rate_mean;clipping_ratio;silence_ratio;spectral_centroid_mean;spectral_bandwidth_mean;spectral_rolloff_mean;spectral_flatness_mean;low_band_energy_ratio;mid_band_energy_ratio;high_band_energy_ratio;noise_floor_proxy;snr_proxy;dynamic_range_proxy;spectral_entropy_mean;bandwidth_occupied_95
partial_fabrication_segment_model,acoustic,4,StratifiedGroupKFold,985,222,logistic_regression_l2,18,46,18,28,0,0,spectral_contrast_mean;very_high_band_energy_ratio;mfcc_1_mean;mfcc_1_std;mfcc_2_mean;mfcc_2_std;mfcc_3_mean;mfcc_3_std;mfcc_4_mean;mfcc_4_std;mfcc_5_mean;mfcc_5_std;mfcc_6_mean;mfcc_6_std;mfcc_7_mean;mfcc_7_std;mfcc_8_mean;mfcc_8_std;mfcc_9_mean;mfcc_9_std;mfcc_10_mean;mfcc_10_std;mfcc_11_mean;mfcc_11_std;mfcc_12_mean;mfcc_12_std;mfcc_13_mean;mfcc_13_std,,,passed,rms_mean;rms_std;peak_amplitude;zero_crossing_rate_mean;clipping_ratio;silence_ratio;spectral_centroid_mean;spectral_bandwidth_mean;spectral_rolloff_mean;spectral_flatness_mean;low_band_energy_ratio;mid_band_energy_ratio;high_band_energy_ratio;noise_floor_proxy;snr_proxy;dynamic_range_proxy;spectral_entropy_mean;bandwidth_occupied_95
partial_fabrication_segment_model,acoustic,5,StratifiedGroupKFold,1006,201,logistic_regression_l2,18,46,18,28,0,0,spectral_contrast_mean;very_high_band_energy_ratio;mfcc_1_mean;mfcc_1_std;mfcc_2_mean;mfcc_2_std;mfcc_3_mean;mfcc_3_std;mfcc_4_mean;mfcc_4_std;mfcc_5_mean;mfcc_5_std;mfcc_6_mean;mfcc_6_std;mfcc_7_mean;mfcc_7_std;mfcc_8_mean;mfcc_8_std;mfcc_9_mean;mfcc_9_std;mfcc_10_mean;mfcc_10_std;mfcc_11_mean;mfcc_11_std;mfcc_12_mean;mfcc_12_std;mfcc_13_mean;mfcc_13_std,,,passed,rms_mean;rms_std;peak_amplitude;zero_crossing_rate_mean;clipping_ratio;silence_ratio;spectral_centroid_mean;spectral_bandwidth_mean;spectral_rolloff_mean;spectral_flatness_mean;low_band_energy_ratio;mid_band_energy_ratio;high_band_energy_ratio;noise_floor_proxy;snr_proxy;dynamic_range_proxy;spectral_entropy_mean;bandwidth_occupied_95
