file_path,file_name,variant,base_id,ssl_origin_label,ssl_origin_text,shadow_device,aasist_status,aasist_label,aasist_score_ai,aasist_runtime_sec,aasist_error,hybrid_resnet_status,hybrid_resnet_label,hybrid_resnet_score_ai,hybrid_resnet_runtime_sec,hybrid_resnet_error,aasist_agrees_ssl,hybrid_agrees_ssl,pipeline_error,file_runtime_sec
E:\FYP\data\phase7c1\raw\ai_direct\ai_001_direct.wav,ai_001_direct.wav,ai_clean,001,likely_ai_generated,Voice origin: Likely AI-generated,cuda,shadow_runnable,likely_ai_generated,0.9999979734420776,0.6386085999984061,,shadow_runnable,likely_human,0.28258760341242983,0.5061688999994658,,True,False,,14.421
E:\FYP\data\phase7c1\raw\ai_direct\ai_002_direct.wav,ai_002_direct.wav,ai_clean,002,likely_ai_generated,Voice origin: Likely AI-generated,cuda,shadow_runnable,likely_ai_generated,0.9996015429496765,0.3026785999973072,,shadow_runnable,likely_human,0.247339320574803,0.3493531999993138,,True,False,,3.106
E:\FYP\data\phase7c1\raw\ai_direct\ai_003_direct.wav,ai_003_direct.wav,ai_clean,003,likely_ai_generated,Voice origin: Likely AI-generated,cuda,shadow_runnable,likely_ai_generated,0.9305439591407776,0.39120039999397704,,shadow_runnable,inconclusive,0.4200133178074054,0.39713599999959115,,True,False,,3.656
E:\FYP\data\phase7c1\raw\ai_direct\ai_004_direct.wav,ai_004_direct.wav,ai_clean,004,likely_ai_generated,Voice origin: Likely AI-generated,cuda,shadow_runnable,likely_ai_generated,0.9999898672103882,0.4183973999970476,,shadow_runnable,likely_human,0.2695325455074453,0.42379369999980554,,True,False,,3.859
E:\FYP\data\phase7c1\raw\ai_direct\ai_005_direct.wav,ai_005_direct.wav,ai_clean,005,likely_ai_generated,Voice origin: Likely AI-generated,cuda,shadow_runnable,likely_ai_generated,0.9999792575836182,0.4547062999990885,,shadow_runnable,likely_human,0.3772212210000261,0.47493519999989076,,True,False,,4.358
E:\FYP\data\phase7c1\raw\ai_direct\ai_006_direct.wav,ai_006_direct.wav,ai_clean,006,likely_ai_generated,Voice origin: Likely AI-generated,cuda,shadow_runnable,likely_ai_generated,0.9843443036079407,0.3982197000004817,,shadow_runnable,likely_human,0.18665175187885552,0.4224891999983811,,True,False,,3.843
E:\FYP\data\phase7c1\raw\ai_direct\ai_007_direct.wav,ai_007_direct.wav,ai_clean,007,likely_ai_generated,Voice origin: Likely AI-generated,cuda,shadow_runnable,likely_ai_generated,0.9814141392707825,0.37383260000206064,,shadow_runnable,likely_ai_generated,0.6866381458782901,0.40772760000254493,,True,True,,3.667
E:\FYP\data\phase7c1\raw\ai_direct\ai_008_direct.wav,ai_008_direct.wav,ai_clean,008,likely_ai_generated,Voice origin: Likely AI-generated,cuda,shadow_runnable,likely_ai_generated,0.9996374845504761,0.2912036999987322,,shadow_runnable,likely_human,0.31973427797856857,0.2931676000007428,,True,False,,2.64
E:\FYP\data\phase7c1\raw\ai_direct\ai_009_direct.wav,ai_009_direct.wav,ai_clean,009,likely_ai_generated,Voice origin: Likely AI-generated,cuda,shadow_runnable,likely_ai_generated,0.9784680604934692,0.34401839999918593,,shadow_runnable,likely_human,0.15035836977248046,0.36531989999639336,,True,False,,3.311
E:\FYP\data\phase7c1\raw\ai_direct\ai_010_direct.wav,ai_010_direct.wav,ai_clean,010,likely_ai_generated,Voice origin: Likely AI-generated,cuda,shadow_runnable,likely_ai_generated,0.9993384480476379,0.3445837000035681,,shadow_runnable,likely_human,0.24978166434188356,0.36216330000024755,,True,False,,3.152
E:\FYP\data\phase7c1\raw\ai_direct\ai_011_direct.wav,ai_011_direct.wav,ai_clean,011,likely_ai_generated,Voice origin: Likely AI-generated,cuda,shadow_runnable,likely_ai_generated,0.9247536063194275,0.30372630000056233,,shadow_runnable,likely_human,0.0016604387997112792,0.3152826000005007,,True,False,,2.782
E:\FYP\data\phase7c1\raw\ai_direct\ai_012_direct.wav,ai_012_direct.wav,ai_clean,012,likely_ai_generated,Voice origin: Likely AI-generated,cuda,shadow_runnable,likely_ai_generated,0.9744569659233093,0.34256550000282004,,shadow_runnable,likely_human,0.010201442778078313,0.3693812999990769,,True,False,,3.15
E:\FYP\data\phase7c1\raw\ai_direct\ai_013_direct.wav,ai_013_direct.wav,ai_clean,013,likely_ai_generated,Voice origin: Likely AI-generated,cuda,shadow_runnable,likely_ai_generated,0.9997720122337341,0.4172898000033456,,shadow_runnable,likely_human,0.3478147567082969,0.452790899995307,,True,False,,4.207
E:\FYP\data\phase7c1\raw\ai_direct\ai_014_direct.wav,ai_014_direct.wav,ai_clean,014,likely_ai_generated,Voice origin: Likely AI-generated,cuda,shadow_runnable,likely_ai_generated,0.9297336935997009,0.3490451000034227,,shadow_runnable,likely_human,0.2747032763587533,0.40203789999941364,,True,False,,3.474
E:\FYP\data\phase7c1\raw\ai_direct\ai_015_direct.wav,ai_015_direct.wav,ai_clean,015,likely_ai_generated,Voice origin: Likely AI-generated,cuda,shadow_runnable,likely_ai_generated,0.9994877576828003,0.4282126999969478,,shadow_runnable,likely_ai_generated,0.6635336601586246,0.43603470000380185,,True,True,,4.221
E:\FYP\data\phase7c1\raw\ai_direct\ai_016_direct.wav,ai_016_direct.wav,ai_clean,016,likely_ai_generated,Voice origin: Likely AI-generated,cuda,shadow_runnable,likely_ai_generated,0.9984608888626099,0.41744729999481933,,shadow_runnable,likely_ai_generated,0.580818096668843,0.4522108000019216,,True,True,,4.145
E:\FYP\data\phase7c1\raw\ai_direct\ai_017_direct.wav,ai_017_direct.wav,ai_clean,017,likely_ai_generated,Voice origin: Likely AI-generated,cuda,shadow_runnable,likely_ai_generated,0.9848347902297974,0.42907279999781167,,shadow_runnable,inconclusive,0.4690274273679178,0.4802427999966312,,True,False,,4.257
E:\FYP\data\phase7c1\raw\ai_direct\ai_018_direct.wav,ai_018_direct.wav,ai_clean,018,likely_ai_generated,Voice origin: Likely AI-generated,cuda,shadow_runnable,likely_ai_generated,0.9999986886978149,0.4722055000020191,,shadow_runnable,likely_human,0.35605260828659213,0.5013863999993191,,True,False,,4.874
E:\FYP\data\phase7c1\raw\ai_direct\ai_019_direct.wav,ai_019_direct.wav,ai_clean,019,likely_ai_generated,Voice origin: Likely AI-generated,cuda,shadow_runnable,likely_ai_generated,0.6527663469314575,0.4275802999982261,,shadow_runnable,inconclusive,0.44451535378013635,0.49321559999953024,,True,False,,4.277
E:\FYP\data\phase7c1\raw\ai_direct\ai_020_direct.wav,ai_020_direct.wav,ai_clean,020,likely_ai_generated,Voice origin: Likely AI-generated,cuda,shadow_runnable,likely_ai_generated,0.9994126558303833,0.41663059999700636,,shadow_runnable,likely_ai_generated,0.5609203374615925,0.4537438000043039,,True,True,,4.149
E:\FYP\data\phase7c1\raw\ai_direct\ai_021_direct.wav,ai_021_direct.wav,ai_clean,021,likely_ai_generated,Voice origin: Likely AI-generated,cuda,shadow_runnable,likely_ai_generated,0.9544877409934998,0.3967711000004783,,shadow_runnable,likely_human,0.10019011197346117,0.45237379999889527,,True,False,,3.863
E:\FYP\data\phase7c1\raw\ai_direct\ai_022_direct.wav,ai_022_direct.wav,ai_clean,022,likely_ai_generated,Voice origin: Likely AI-generated,cuda,shadow_runnable,likely_ai_generated,0.9994066953659058,0.4535812000031001,,shadow_runnable,likely_human,0.3039167122683971,0.47182250000332715,,True,False,,4.357
E:\FYP\data\phase7c1\raw\ai_direct\ai_023_direct.wav,ai_023_direct.wav,ai_clean,023,likely_ai_generated,Voice origin: Likely AI-generated,cuda,shadow_runnable,likely_ai_generated,0.569220781326294,0.37798859999747947,,shadow_runnable,likely_human,0.27961236699746905,0.4407137000016519,,True,False,,3.8
E:\FYP\data\phase7c1\raw\ai_fabricated\ai_001_fabricated.wav,ai_001_fabricated.wav,ai_fabricated,001,likely_ai_generated,Voice origin: Likely AI-generated,cuda,shadow_runnable,likely_ai_generated,0.9999439716339111,0.50294639999629,,shadow_runnable,likely_human,0.3444687515386961,0.5590728999959538,,True,False,,5.107
E:\FYP\data\phase7c1\raw\ai_fabricated\ai_002_fabricated.wav,ai_002_fabricated.wav,ai_fabricated,002,likely_ai_generated,Voice origin: Likely AI-generated,cuda,shadow_runnable,likely_ai_generated,0.9999599456787109,0.3754263000009814,,shadow_runnable,likely_human,0.29924283804333146,0.392099299999245,,True,False,,3.468
