dataset,column,status,in_model_feature_columns,action
file_partial_gate,allowed_use,present_as_metadata_ok,false,keep_metadata_only
file_partial_gate,candidate_reason,absent,false,none
file_partial_gate,candidate_type,absent,false,none
file_partial_gate,fabricated_end_sec,absent,false,none
file_partial_gate,fabricated_start_sec,absent,false,none
file_partial_gate,fabrication_direction,absent,false,none
file_partial_gate,fake_score,absent,false,none
file_partial_gate,file_category,present_as_metadata_ok,false,keep_metadata_only
file_partial_gate,insert_end_sec,absent,false,none
file_partial_gate,insert_start_sec,absent,false,none
file_partial_gate,known_manipulation_labels,present_as_metadata_ok,false,keep_metadata_only
file_partial_gate,known_origin_label,present_as_metadata_ok,false,keep_metadata_only
file_partial_gate,max_fabricated_overlap_ratio,absent,false,none
file_partial_gate,max_fabricated_overlap_sec,absent,false,none
file_partial_gate,model_feature_columns_json,present_as_metadata_ok,false,keep_metadata_only
file_partial_gate,overlaps_true_fabricated_region,absent,false,none
file_partial_gate,partial_file_label_source,present_as_metadata_ok,false,keep_metadata_only
file_partial_gate,partial_probability,absent,false,none
file_partial_gate,real_score,absent,false,none
file_partial_gate,segment_source_type,absent,false,none
file_partial_gate,target_is_fabricated_segment,absent,false,none
file_partial_gate,target_is_partial_fabrication_file,present_as_metadata_ok,false,keep_metadata_only
file_partial_gate,timestamp_overlap_ratio_segment,absent,false,none
file_partial_gate,timestamp_overlap_sec,absent,false,none
file_partial_gate,timestamp_region_label,absent,false,none
file_partial_gate,timestamp_segment_label,absent,false,none
file_partial_gate,active_audio_ratio,absent,true,usable_feature
file_partial_gate,bandwidth_occupied_95,absent,true,usable_feature
file_partial_gate,clipping_ratio,absent,true,usable_feature
file_partial_gate,dc_offset,absent,true,usable_feature
file_partial_gate,dynamic_range_proxy,absent,true,usable_feature
file_partial_gate,high_band_energy_ratio,absent,true,usable_feature
file_partial_gate,high_freq_rolloff_ratio,absent,true,usable_feature
file_partial_gate,low_band_energy_ratio,absent,true,usable_feature
file_partial_gate,mean_amplitude,absent,true,usable_feature
file_partial_gate,mfcc_10_mean,absent,true,usable_feature
file_partial_gate,mfcc_10_std,absent,true,usable_feature
file_partial_gate,mfcc_11_mean,absent,true,usable_feature
file_partial_gate,mfcc_11_std,absent,true,usable_feature
file_partial_gate,mfcc_12_mean,absent,true,usable_feature
file_partial_gate,mfcc_12_std,absent,true,usable_feature
file_partial_gate,mfcc_13_mean,absent,true,usable_feature
file_partial_gate,mfcc_13_std,absent,true,usable_feature
file_partial_gate,mfcc_1_mean,absent,true,usable_feature
file_partial_gate,mfcc_1_std,absent,true,usable_feature
file_partial_gate,mfcc_2_mean,absent,true,usable_feature
file_partial_gate,mfcc_2_std,absent,true,usable_feature
file_partial_gate,mfcc_3_mean,absent,true,usable_feature
file_partial_gate,mfcc_3_std,absent,true,usable_feature
file_partial_gate,mfcc_4_mean,absent,true,usable_feature
file_partial_gate,mfcc_4_std,absent,true,usable_feature
file_partial_gate,mfcc_5_mean,absent,true,usable_feature
file_partial_gate,mfcc_5_std,absent,true,usable_feature
file_partial_gate,mfcc_6_mean,absent,true,usable_feature
file_partial_gate,mfcc_6_std,absent,true,usable_feature
file_partial_gate,mfcc_7_mean,absent,true,usable_feature
file_partial_gate,mfcc_7_std,absent,true,usable_feature
file_partial_gate,mfcc_8_mean,absent,true,usable_feature
file_partial_gate,mfcc_8_std,absent,true,usable_feature
file_partial_gate,mfcc_9_mean,absent,true,usable_feature
file_partial_gate,mfcc_9_std,absent,true,usable_feature
file_partial_gate,mid_band_energy_ratio,absent,true,usable_feature
file_partial_gate,noise_floor_proxy,absent,true,usable_feature
file_partial_gate,peak_amplitude,absent,true,usable_feature
file_partial_gate,rms_max,absent,true,usable_feature
file_partial_gate,rms_mean,absent,true,usable_feature
file_partial_gate,rms_min,absent,true,usable_feature
file_partial_gate,rms_std,absent,true,usable_feature
file_partial_gate,silence_ratio,absent,true,usable_feature
file_partial_gate,snr_proxy,absent,true,usable_feature
file_partial_gate,spectral_bandwidth_mean,absent,true,usable_feature
file_partial_gate,spectral_bandwidth_std,absent,true,usable_feature
file_partial_gate,spectral_centroid_mean,absent,true,usable_feature
file_partial_gate,spectral_centroid_std,absent,true,usable_feature
file_partial_gate,spectral_contrast_mean,absent,true,usable_feature
file_partial_gate,spectral_contrast_std,absent,true,usable_feature
file_partial_gate,spectral_entropy_mean,absent,true,usable_feature
file_partial_gate,spectral_entropy_std,absent,true,usable_feature
file_partial_gate,spectral_flatness_mean,absent,true,usable_feature
file_partial_gate,spectral_flatness_std,absent,true,usable_feature
file_partial_gate,spectral_rolloff_mean,absent,true,usable_feature
file_partial_gate,spectral_rolloff_std,absent,true,usable_feature
file_partial_gate,ssl_emb_000,absent,true,usable_feature
file_partial_gate,ssl_emb_001,absent,true,usable_feature
file_partial_gate,ssl_emb_002,absent,true,usable_feature
file_partial_gate,ssl_emb_003,absent,true,usable_feature
file_partial_gate,ssl_emb_004,absent,true,usable_feature
file_partial_gate,ssl_emb_005,absent,true,usable_feature
file_partial_gate,ssl_emb_006,absent,true,usable_feature
file_partial_gate,ssl_emb_007,absent,true,usable_feature
file_partial_gate,ssl_emb_008,absent,true,usable_feature
file_partial_gate,ssl_emb_009,absent,true,usable_feature
file_partial_gate,ssl_emb_010,absent,true,usable_feature
file_partial_gate,ssl_emb_011,absent,true,usable_feature
file_partial_gate,ssl_emb_012,absent,true,usable_feature
file_partial_gate,ssl_emb_013,absent,true,usable_feature
file_partial_gate,ssl_emb_014,absent,true,usable_feature
file_partial_gate,ssl_emb_015,absent,true,usable_feature
file_partial_gate,ssl_emb_016,absent,true,usable_feature
file_partial_gate,ssl_emb_017,absent,true,usable_feature
file_partial_gate,ssl_emb_018,absent,true,usable_feature
file_partial_gate,ssl_emb_019,absent,true,usable_feature
file_partial_gate,ssl_emb_020,absent,true,usable_feature
file_partial_gate,ssl_emb_021,absent,true,usable_feature
file_partial_gate,ssl_emb_022,absent,true,usable_feature
file_partial_gate,ssl_emb_023,absent,true,usable_feature
file_partial_gate,ssl_emb_024,absent,true,usable_feature
file_partial_gate,ssl_emb_025,absent,true,usable_feature
file_partial_gate,ssl_emb_026,absent,true,usable_feature
file_partial_gate,ssl_emb_027,absent,true,usable_feature
file_partial_gate,ssl_emb_028,absent,true,usable_feature
file_partial_gate,ssl_emb_029,absent,true,usable_feature
file_partial_gate,ssl_emb_030,absent,true,usable_feature
file_partial_gate,ssl_emb_031,absent,true,usable_feature
file_partial_gate,ssl_emb_032,absent,true,usable_feature
file_partial_gate,ssl_emb_033,absent,true,usable_feature
file_partial_gate,ssl_emb_034,absent,true,usable_feature
file_partial_gate,ssl_emb_035,absent,true,usable_feature
file_partial_gate,ssl_emb_036,absent,true,usable_feature
file_partial_gate,ssl_emb_037,absent,true,usable_feature
file_partial_gate,ssl_emb_038,absent,true,usable_feature
file_partial_gate,ssl_emb_039,absent,true,usable_feature
file_partial_gate,ssl_emb_040,absent,true,usable_feature
file_partial_gate,ssl_emb_041,absent,true,usable_feature
file_partial_gate,ssl_emb_042,absent,true,usable_feature
file_partial_gate,ssl_emb_043,absent,true,usable_feature
file_partial_gate,ssl_emb_044,absent,true,usable_feature
file_partial_gate,ssl_emb_045,absent,true,usable_feature
file_partial_gate,ssl_emb_046,absent,true,usable_feature
file_partial_gate,ssl_emb_047,absent,true,usable_feature
file_partial_gate,ssl_emb_048,absent,true,usable_feature
file_partial_gate,ssl_emb_049,absent,true,usable_feature
file_partial_gate,ssl_emb_050,absent,true,usable_feature
file_partial_gate,ssl_emb_051,absent,true,usable_feature
file_partial_gate,ssl_emb_052,absent,true,usable_feature
file_partial_gate,ssl_emb_053,absent,true,usable_feature
file_partial_gate,ssl_emb_054,absent,true,usable_feature
file_partial_gate,ssl_emb_055,absent,true,usable_feature
file_partial_gate,ssl_emb_056,absent,true,usable_feature
file_partial_gate,ssl_emb_057,absent,true,usable_feature
file_partial_gate,ssl_emb_058,absent,true,usable_feature
file_partial_gate,ssl_emb_059,absent,true,usable_feature
file_partial_gate,ssl_emb_060,absent,true,usable_feature
file_partial_gate,ssl_emb_061,absent,true,usable_feature
file_partial_gate,ssl_emb_062,absent,true,usable_feature
file_partial_gate,ssl_emb_063,absent,true,usable_feature
file_partial_gate,ssl_emb_064,absent,true,usable_feature
file_partial_gate,ssl_emb_065,absent,true,usable_feature
file_partial_gate,ssl_emb_066,absent,true,usable_feature
file_partial_gate,ssl_emb_067,absent,true,usable_feature
file_partial_gate,ssl_emb_068,absent,true,usable_feature
file_partial_gate,ssl_emb_069,absent,true,usable_feature
file_partial_gate,ssl_emb_070,absent,true,usable_feature
file_partial_gate,ssl_emb_071,absent,true,usable_feature
file_partial_gate,ssl_emb_072,absent,true,usable_feature
file_partial_gate,ssl_emb_073,absent,true,usable_feature
file_partial_gate,ssl_emb_074,absent,true,usable_feature
file_partial_gate,ssl_emb_075,absent,true,usable_feature
file_partial_gate,ssl_emb_076,absent,true,usable_feature
file_partial_gate,ssl_emb_077,absent,true,usable_feature
file_partial_gate,ssl_emb_078,absent,true,usable_feature
file_partial_gate,ssl_emb_079,absent,true,usable_feature
file_partial_gate,ssl_emb_080,absent,true,usable_feature
file_partial_gate,ssl_emb_081,absent,true,usable_feature
file_partial_gate,ssl_emb_082,absent,true,usable_feature
file_partial_gate,ssl_emb_083,absent,true,usable_feature
file_partial_gate,ssl_emb_084,absent,true,usable_feature
file_partial_gate,ssl_emb_085,absent,true,usable_feature
file_partial_gate,ssl_emb_086,absent,true,usable_feature
file_partial_gate,ssl_emb_087,absent,true,usable_feature
file_partial_gate,ssl_emb_088,absent,true,usable_feature
file_partial_gate,ssl_emb_089,absent,true,usable_feature
file_partial_gate,ssl_emb_090,absent,true,usable_feature
file_partial_gate,ssl_emb_091,absent,true,usable_feature
file_partial_gate,ssl_emb_092,absent,true,usable_feature
file_partial_gate,ssl_emb_093,absent,true,usable_feature
file_partial_gate,ssl_emb_094,absent,true,usable_feature
file_partial_gate,ssl_emb_095,absent,true,usable_feature
file_partial_gate,ssl_emb_096,absent,true,usable_feature
file_partial_gate,ssl_emb_097,absent,true,usable_feature
file_partial_gate,ssl_emb_098,absent,true,usable_feature
file_partial_gate,ssl_emb_099,absent,true,usable_feature
file_partial_gate,ssl_emb_100,absent,true,usable_feature
file_partial_gate,ssl_emb_101,absent,true,usable_feature
file_partial_gate,ssl_emb_102,absent,true,usable_feature
file_partial_gate,ssl_emb_103,absent,true,usable_feature
file_partial_gate,ssl_emb_104,absent,true,usable_feature
file_partial_gate,ssl_emb_105,absent,true,usable_feature
file_partial_gate,ssl_emb_106,absent,true,usable_feature
file_partial_gate,ssl_emb_107,absent,true,usable_feature
file_partial_gate,ssl_emb_108,absent,true,usable_feature
file_partial_gate,ssl_emb_109,absent,true,usable_feature
file_partial_gate,ssl_emb_110,absent,true,usable_feature
file_partial_gate,ssl_emb_111,absent,true,usable_feature
file_partial_gate,ssl_emb_112,absent,true,usable_feature
file_partial_gate,ssl_emb_113,absent,true,usable_feature
file_partial_gate,ssl_emb_114,absent,true,usable_feature
file_partial_gate,ssl_emb_115,absent,true,usable_feature
file_partial_gate,ssl_emb_116,absent,true,usable_feature
file_partial_gate,ssl_emb_117,absent,true,usable_feature
file_partial_gate,ssl_emb_118,absent,true,usable_feature
file_partial_gate,ssl_emb_119,absent,true,usable_feature
file_partial_gate,ssl_emb_120,absent,true,usable_feature
file_partial_gate,ssl_emb_121,absent,true,usable_feature
file_partial_gate,ssl_emb_122,absent,true,usable_feature
file_partial_gate,ssl_emb_123,absent,true,usable_feature
file_partial_gate,ssl_emb_124,absent,true,usable_feature
file_partial_gate,ssl_emb_125,absent,true,usable_feature
file_partial_gate,ssl_emb_126,absent,true,usable_feature
file_partial_gate,ssl_emb_127,absent,true,usable_feature
file_partial_gate,ssl_emb_128,absent,true,usable_feature
file_partial_gate,ssl_emb_129,absent,true,usable_feature
file_partial_gate,ssl_emb_130,absent,true,usable_feature
file_partial_gate,ssl_emb_131,absent,true,usable_feature
file_partial_gate,ssl_emb_132,absent,true,usable_feature
file_partial_gate,ssl_emb_133,absent,true,usable_feature
file_partial_gate,ssl_emb_134,absent,true,usable_feature
file_partial_gate,ssl_emb_135,absent,true,usable_feature
file_partial_gate,ssl_emb_136,absent,true,usable_feature
file_partial_gate,ssl_emb_137,absent,true,usable_feature
file_partial_gate,ssl_emb_138,absent,true,usable_feature
file_partial_gate,ssl_emb_139,absent,true,usable_feature
file_partial_gate,ssl_emb_140,absent,true,usable_feature
file_partial_gate,ssl_emb_141,absent,true,usable_feature
file_partial_gate,ssl_emb_142,absent,true,usable_feature
file_partial_gate,ssl_emb_143,absent,true,usable_feature
file_partial_gate,ssl_emb_144,absent,true,usable_feature
file_partial_gate,ssl_emb_145,absent,true,usable_feature
file_partial_gate,ssl_emb_146,absent,true,usable_feature
file_partial_gate,ssl_emb_147,absent,true,usable_feature
file_partial_gate,ssl_emb_148,absent,true,usable_feature
file_partial_gate,ssl_emb_149,absent,true,usable_feature
file_partial_gate,ssl_emb_150,absent,true,usable_feature
file_partial_gate,ssl_emb_151,absent,true,usable_feature
file_partial_gate,ssl_emb_152,absent,true,usable_feature
file_partial_gate,ssl_emb_153,absent,true,usable_feature
file_partial_gate,ssl_emb_154,absent,true,usable_feature
file_partial_gate,ssl_emb_155,absent,true,usable_feature
file_partial_gate,ssl_emb_156,absent,true,usable_feature
file_partial_gate,ssl_emb_157,absent,true,usable_feature
