annotation_source,output_file,matched_file_id,matched_audio_path,fabricated_start_sec,fabricated_end_sec,match_status,notes
ai_fabricated,ai_001_fabricated.wav,phase7c1_collection_manifest_000001_ai_001_fabricated,data/phase7c1/raw/ai_fabricated/ai_001_fabricated.wav,18.024,27.818,matched,
ai_fabricated,ai_002_fabricated.wav,phase7c1_collection_manifest_000009_ai_002_fabricated,data/phase7c1/raw/ai_fabricated/ai_002_fabricated.wav,35.741,42.331,matched,
ai_fabricated,ai_003_fabricated.wav,phase7c1_collection_manifest_000017_ai_003_fabricated,data/phase7c1/raw/ai_fabricated/ai_003_fabricated.wav,1.952,8.531,matched,
ai_fabricated,ai_004_fabricated.wav,phase7c1_collection_manifest_000025_ai_004_fabricated,data/phase7c1/raw/ai_fabricated/ai_004_fabricated.wav,39.453,46.277,matched,
ai_fabricated,ai_005_fabricated.wav,phase7c1_collection_manifest_000033_ai_005_fabricated,data/phase7c1/raw/ai_fabricated/ai_005_fabricated.wav,42.59,49.433,matched,
ai_fabricated,ai_006_fabricated.wav,phase7c1_collection_manifest_000041_ai_006_fabricated,data/phase7c1/raw/ai_fabricated/ai_006_fabricated.wav,29.439,38.986,matched,
ai_fabricated,ai_007_fabricated.wav,phase7c1_collection_manifest_000049_ai_007_fabricated,data/phase7c1/raw/ai_fabricated/ai_007_fabricated.wav,45.753,54.448,matched,
ai_fabricated,ai_008_fabricated.wav,phase7c1_collection_manifest_000057_ai_008_fabricated,data/phase7c1/raw/ai_fabricated/ai_008_fabricated.wav,14.11,21.003,matched,
ai_fabricated,ai_009_fabricated.wav,phase7c1_collection_manifest_000065_ai_009_fabricated,data/phase7c1/raw/ai_fabricated/ai_009_fabricated.wav,6.078,15.785,matched,
ai_fabricated,ai_010_fabricated.wav,phase7c1_collection_manifest_000073_ai_010_fabricated,data/phase7c1/raw/ai_fabricated/ai_010_fabricated.wav,39.565,46.965,matched,
ai_fabricated,ai_011_fabricated.wav,phase7c1_collection_manifest_000081_ai_011_fabricated,data/phase7c1/raw/ai_fabricated/ai_011_fabricated.wav,30.108,36.664,matched,
ai_fabricated,ai_012_fabricated.wav,phase7c1_collection_manifest_000089_ai_012_fabricated,data/phase7c1/raw/ai_fabricated/ai_012_fabricated.wav,36.178,44.19,matched,
ai_fabricated,ai_013_fabricated.wav,phase7c1_collection_manifest_000097_ai_013_fabricated,data/phase7c1/raw/ai_fabricated/ai_013_fabricated.wav,23.7,31.661,matched,
ai_fabricated,ai_014_fabricated.wav,phase7c1_collection_manifest_000105_ai_014_fabricated,data/phase7c1/raw/ai_fabricated/ai_014_fabricated.wav,3.003,11.423,matched,
ai_fabricated,ai_015_fabricated.wav,phase7c1_collection_manifest_000113_ai_015_fabricated,data/phase7c1/raw/ai_fabricated/ai_015_fabricated.wav,15.256,24.972,matched,
ai_fabricated,ai_016_fabricated.wav,phase7c1_collection_manifest_000121_ai_016_fabricated,data/phase7c1/raw/ai_fabricated/ai_016_fabricated.wav,29.714,40.282,matched,
ai_fabricated,ai_017_fabricated.wav,phase7c1_collection_manifest_000129_ai_017_fabricated,data/phase7c1/raw/ai_fabricated/ai_017_fabricated.wav,24.26,33.894,matched,
ai_fabricated,ai_018_fabricated.wav,phase7c1_collection_manifest_000137_ai_018_fabricated,data/phase7c1/raw/ai_fabricated/ai_018_fabricated.wav,45.994,54.836,matched,
ai_fabricated,ai_019_fabricated.wav,phase7c1_collection_manifest_000145_ai_019_fabricated,data/phase7c1/raw/ai_fabricated/ai_019_fabricated.wav,39.92,51.003,matched,
ai_fabricated,ai_020_fabricated.wav,phase7c1_collection_manifest_000153_ai_020_fabricated,data/phase7c1/raw/ai_fabricated/ai_020_fabricated.wav,10.708,20.214,matched,
ai_fabricated,ai_021_fabricated.wav,phase7c1_collection_manifest_000161_ai_021_fabricated,data/phase7c1/raw/ai_fabricated/ai_021_fabricated.wav,14.392,22.878,matched,
ai_fabricated,ai_022_fabricated.wav,phase7c1_collection_manifest_000169_ai_022_fabricated,data/phase7c1/raw/ai_fabricated/ai_022_fabricated.wav,53.857,63.793,matched,
ai_fabricated,ai_023_fabricated.wav,phase7c1_collection_manifest_000177_ai_023_fabricated,data/phase7c1/raw/ai_fabricated/ai_023_fabricated.wav,17.546,24.021,matched,
