task_name,feature_set,file_id,file_category,is_partial_file,segment_count,segment_threshold,high_segment_fraction_at_threshold,top1_inside_true_region,top3_any_inside_true_region,top5_any_inside_true_region,top5_inside_count,best_rank_inside_region,max_prob_inside,mean_prob_inside,max_prob_outside,mean_prob_outside,inside_minus_outside_mean,false_high_segment_count,false_high_segment_rate,broad_false_activation_flag,broad_activation_flag,localized_pattern_supported
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000000_ai_001_direct,ai_direct,false,27,0.5,0.037037037037037035,,,,,,,,0.6170166692517408,0.07561199752271407,,1,0.037037037037037035,false,false,
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000001_ai_001_fabricated,ai_fabricated,true,33,0.5,0.21212121212121213,true,true,true,5,1,0.9995806008000936,0.9867245605821732,0.5916117202967247,0.06495743943195602,0.9217671211502172,,,,false,true
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000002_ai_001_mixer_processed,ai_mixer,false,27,0.5,0.0,,,,,,,,0.0026650219324284,0.00028456730775165695,,0,0.0,false,false,
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000003_ai_001_replay_laptop_mobile,ai_replay,false,28,0.5,0.0,,,,,,,,0.0275191022053491,0.00251947734149991,,0,0.0,false,false,
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000004_human_001_clean,human_clean,false,21,0.5,0.047619047619047616,,,,,,,,0.8899596814789201,0.07854509387938557,,1,0.047619047619047616,false,false,
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000005_human_001_fabricated,human_fabricated,true,25,0.5,0.2,true,true,true,5,1,0.9999999999613176,0.9949530109807858,0.2810862651884531,0.02245377002047328,0.9724992409603125,,,,false,true
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000006_human_001_mixer_processed,human_mixer,false,20,0.5,0.05,,,,,,,,0.7995711172071944,0.060368935903792754,,1,0.05,false,false,
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000007_human_001_replay_laptop_mobile,human_replay,false,16,0.5,0.0,,,,,,,,8.145452052295118e-05,7.9843130590377e-06,,0,0.0,false,false,
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000008_ai_002_direct,ai_direct,false,20,0.5,0.05,,,,,,,,0.9774923887211668,0.07249552918450594,,1,0.05,false,false,
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000009_ai_002_fabricated,ai_fabricated,true,23,0.5,0.30434782608695654,true,true,true,3,1,0.9994409459874448,0.95521540448908,0.9985856578497344,0.20928387375371135,0.7459315307353687,,,,false,true
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000010_ai_002_mixer_processed,ai_mixer,false,20,0.5,0.0,,,,,,,,0.0253256066744932,0.002591998708292708,,0,0.0,false,false,
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000011_ai_002_replay_laptop_mobile,ai_replay,false,15,0.5,0.0,,,,,,,,0.0024950050824708,0.00016832584119792302,,0,0.0,false,false,
