task_name,feature_set,threshold,precision,recall,f1,false_positive_rate,false_negative_rate,tn,fp,fn,tp,fabricated_segment_detected_rate,outside_false_fabricated_rate
partial_segment_localizer_v2,acoustic,0.1,0.06443224501589136,0.9955357142857143,0.12103120759837177,0.8262311814238326,0.004464285714285714,681,3238,1,223,0.9955357142857143,0.8262311814238326
partial_segment_localizer_v2,acoustic,0.15,0.06912585244885307,0.9955357142857143,0.12927536231884057,0.7662669048226588,0.004464285714285714,916,3003,1,223,0.9955357142857143,0.7662669048226588
partial_segment_localizer_v2,acoustic,0.2,0.07540760869565218,0.9910714285714286,0.14015151515151514,0.6945649400357234,0.008928571428571428,1197,2722,2,222,0.9910714285714286,0.6945649400357234
partial_segment_localizer_v2,acoustic,0.25,0.08160181337363052,0.9642857142857143,0.15047021943573669,0.6203113039040572,0.03571428571428571,1488,2431,8,216,0.9642857142857143,0.6203113039040572
partial_segment_localizer_v2,acoustic,0.3,0.08910472972972973,0.9419642857142857,0.16280864197530864,0.5503955090584333,0.05803571428571429,1762,2157,13,211,0.9419642857142857,0.5503955090584333
partial_segment_localizer_v2,acoustic,0.35,0.09483960948396095,0.9107142857142857,0.17178947368421052,0.4968104108190865,0.08928571428571429,1972,1947,20,204,0.9107142857142857,0.4968104108190865
partial_segment_localizer_v2,acoustic,0.4,0.0959257349149046,0.8303571428571429,0.17198335644937587,0.447307986731309,0.16964285714285715,2166,1753,38,186,0.8303571428571429,0.447307986731309
partial_segment_localizer_v2,acoustic,0.45,0.1006362058993638,0.7767857142857143,0.1781874039938556,0.3967848941056392,0.22321428571428573,2364,1555,50,174,0.7767857142857143,0.3967848941056392
partial_segment_localizer_v2,acoustic,0.5,0.10324288550628723,0.6964285714285714,0.17982708933717578,0.34575146721102323,0.30357142857142855,2564,1355,68,156,0.6964285714285714,0.34575146721102323
partial_segment_localizer_v2,acoustic,0.55,0.10625,0.6071428571428571,0.18085106382978725,0.29191120183720337,0.39285714285714285,2775,1144,88,136,0.6071428571428571,0.29191120183720337
partial_segment_localizer_v2,acoustic,0.6,0.10450623202301054,0.48660714285714285,0.17205998421468036,0.2383261035978566,0.5133928571428571,2985,934,115,109,0.48660714285714285,0.2383261035978566
partial_segment_localizer_v2,acoustic,0.65,0.10290556900726393,0.3794642857142857,0.1619047619047619,0.18907884664455218,0.6205357142857143,3178,741,139,85,0.3794642857142857,0.18907884664455218
partial_segment_localizer_v2,acoustic,0.7,0.1136,0.3169642857142857,0.16725559481743227,0.14136259249808625,0.6830357142857143,3365,554,153,71,0.3169642857142857,0.14136259249808625
partial_segment_localizer_v2,acoustic,0.75,0.10835214446952596,0.21428571428571427,0.14392803598200898,0.10079101811686655,0.7857142857142857,3524,395,176,48,0.21428571428571427,0.10079101811686655
partial_segment_localizer_v2,acoustic,0.8,0.11552346570397112,0.14285714285714285,0.1277445109780439,0.06251594794590457,0.8571428571428571,3674,245,192,32,0.14285714285714285,0.06251594794590457
partial_segment_localizer_v2,acoustic,0.85,0.11805555555555555,0.07589285714285714,0.09239130434782608,0.03240622607808114,0.9241071428571429,3792,127,207,17,0.07589285714285714,0.03240622607808114
partial_segment_localizer_v2,acoustic,0.9,0.14583333333333334,0.03125,0.051470588235294115,0.010461852513396274,0.96875,3878,41,217,7,0.03125,0.010461852513396274
partial_segment_localizer_v2,ssl,0.1,0.10145681581685743,0.8705357142857143,0.18173345759552656,0.4406736412350089,0.12946428571428573,2192,1727,29,195,0.8705357142857143,0.4406736412350089
