file_gate_threshold,segment_threshold,contrast_threshold,broad_limit,partial_recall,fabricated_20pct_recall,non_partial_false_alarm_rate,direct_false_partial_rate,false_positive_count,false_negative_count,recovered_fabricated_20pct_count,new_false_positive_count,diagnostic_only
0.4,0.8,0.15,0.45,0.75,0.7,0.21739130434782608,0.38461538461538464,5,3,0,3,True
0.4,0.8,0.2,0.45,0.75,0.7,0.21739130434782608,0.38461538461538464,5,3,0,3,True
0.4,0.8,0.25,0.45,0.75,0.7,0.21739130434782608,0.38461538461538464,5,3,0,3,True
0.4,0.85,0.15,0.45,0.75,0.7,0.21739130434782608,0.38461538461538464,5,3,0,3,True
0.4,0.85,0.2,0.45,0.75,0.7,0.21739130434782608,0.38461538461538464,5,3,0,3,True
0.4,0.85,0.25,0.45,0.75,0.7,0.21739130434782608,0.38461538461538464,5,3,0,3,True
0.4,0.9,0.15,0.45,0.75,0.7,0.21739130434782608,0.38461538461538464,5,3,0,3,True
0.4,0.9,0.2,0.45,0.75,0.7,0.21739130434782608,0.38461538461538464,5,3,0,3,True
0.4,0.9,0.25,0.45,0.75,0.7,0.21739130434782608,0.38461538461538464,5,3,0,3,True
0.45,0.8,0.15,0.45,0.75,0.7,0.21739130434782608,0.38461538461538464,5,3,0,3,True
0.45,0.8,0.2,0.45,0.75,0.7,0.21739130434782608,0.38461538461538464,5,3,0,3,True
0.45,0.8,0.25,0.45,0.75,0.7,0.21739130434782608,0.38461538461538464,5,3,0,3,True
0.45,0.85,0.15,0.45,0.75,0.7,0.21739130434782608,0.38461538461538464,5,3,0,3,True
0.45,0.85,0.2,0.45,0.75,0.7,0.21739130434782608,0.38461538461538464,5,3,0,3,True
0.45,0.85,0.25,0.45,0.75,0.7,0.21739130434782608,0.38461538461538464,5,3,0,3,True
0.45,0.9,0.15,0.45,0.75,0.7,0.21739130434782608,0.38461538461538464,5,3,0,3,True
0.45,0.9,0.2,0.45,0.75,0.7,0.21739130434782608,0.38461538461538464,5,3,0,3,True
0.45,0.9,0.25,0.45,0.75,0.7,0.21739130434782608,0.38461538461538464,5,3,0,3,True
0.5,0.8,0.15,0.45,0.75,0.7,0.08695652173913043,0.15384615384615385,2,3,0,0,True
0.5,0.8,0.2,0.45,0.75,0.7,0.08695652173913043,0.15384615384615385,2,3,0,0,True
0.5,0.8,0.25,0.45,0.75,0.7,0.08695652173913043,0.15384615384615385,2,3,0,0,True
0.5,0.85,0.15,0.45,0.75,0.7,0.08695652173913043,0.15384615384615385,2,3,0,0,True
0.5,0.85,0.2,0.45,0.75,0.7,0.08695652173913043,0.15384615384615385,2,3,0,0,True
0.5,0.85,0.25,0.45,0.75,0.7,0.08695652173913043,0.15384615384615385,2,3,0,0,True
0.5,0.9,0.15,0.45,0.75,0.7,0.08695652173913043,0.15384615384615385,2,3,0,0,True
0.5,0.9,0.2,0.45,0.75,0.7,0.08695652173913043,0.15384615384615385,2,3,0,0,True
0.5,0.9,0.25,0.45,0.75,0.7,0.08695652173913043,0.15384615384615385,2,3,0,0,True
