feature,phase7_mixer_mean_z,phase7_clean_mean_z,phase7_replay_mean_z,testing_mixer_mean_z,gap_testing_vs_phase7_mixer_abs,closer_to_clean_than_mixer,closer_to_replay_than_mixer
mfcc_7_mean,0.5210658000307401,0.3632167852166754,-1.148358162923011,-2.44487016671676,2.9659359667475,True,True
mfcc_8_mean,-0.948783671336406,0.5966805551424359,0.1887956955552104,1.2804579160092675,2.2292415873456735,True,True
mid_band_energy_ratio,-0.43656145939588736,-0.5089963813064631,0.7362734870002717,1.5318169518898934,1.9683784112857807,False,True
mfcc_9_mean,0.7125645997678108,0.400184239714211,-0.9491220123520184,-1.0134110704917891,1.7259756702595999,True,True
mfcc_10_mean,-1.183702697594415,0.14535606065446652,0.32591735743937633,0.5135135718848418,1.6972162694792567,True,True
low_band_energy_ratio,0.40047221917532644,0.42011915442905884,-1.2704663962698621,-1.2945485673302153,1.6950207865055418,False,True
rms_std,0.45276486639076924,-0.12460102136471747,-1.27617334439238,-1.229204864235958,1.6819697306267274,True,True
mfcc_4_mean,0.4515142581811836,0.0318594153850517,-1.3758708700725082,-1.190666489176387,1.6421807473575707,True,True
noise_floor_proxy,0.18841533350473136,-0.5797410750507433,1.2306265968254897,1.7714458885862188,1.5830305550814874,False,True
mfcc_5_mean,-0.11174195049290706,0.2679995315187277,-0.8243395000183736,-1.6040677593276758,1.4923258088347686,False,True
peak_amplitude,0.22961460544836482,0.6411989696139667,-0.5403886987225547,-1.0600217210765146,1.2896363265248794,False,True
rms_max,0.3915322699927765,-0.022596878722103697,-0.8383215258192596,-0.8457293127716091,1.2372615827643856,True,True
mfcc_11_mean,-0.4314147730069947,0.9656224211846329,-0.4182846301508726,0.7556714446364584,1.1870862176434531,True,True
dynamic_range_proxy,0.39729781445168866,0.004714656097058882,-0.9824512795117528,-0.7743783706650031,1.171676185116692,True,True
spectral_entropy_std,0.07061258666285444,0.5607826116501738,-1.1072883479251217,-1.0875196106967582,1.1581321973596126,False,True
spectral_contrast_std,0.31179221884050995,0.9288126447947207,-1.1267010058287663,-0.6864915922328034,0.9982838110733134,False,True
mfcc_6_mean,-0.9923267203520227,0.6458877301445615,0.24102008626069846,-0.20654639543840544,0.7857803249136173,False,True
mfcc_13_mean,-0.47182682041203844,1.1513375704302014,-0.1303563448814618,0.29900026139432007,0.7708270818063585,False,True
mfcc_3_std,-0.42242901104662306,1.0662291135935889,-0.41992454735703355,0.3150496884673606,0.7374786995139837,False,True
std_amplitude,0.5617412504625502,-0.351661729976154,-0.8174393210428395,-0.17079253000678607,0.7325337804693363,True,True
mfcc_3_mean,-0.4171810344515297,1.1238050493130884,-0.2131582824679747,-1.0803160008808685,0.6631349664293389,False,False
mfcc_9_std,0.1326266044196618,0.9934181021878981,-0.7351865859907408,0.7871277892489523,0.6545011848292905,True,False
