prediction_scope,sample_id,test_id,audio_path,ground_truth_origin,manipulation_type,language,target_is_mixer_channel,mixer_probability,mixer_prediction,feature_status
fit_train,ai_001_replay_laptop_mobile,,data/phase7c1/raw/ai_repeat/ai_001_replay_laptop_mobile.wav,ai,ai_replay,unknown,0,0.10171046009725132,1.0,ok
fit_train,ai_004_replay_laptop_mobile,,data/phase7c1/raw/ai_repeat/ai_004_replay_laptop_mobile.wav,ai,ai_replay,unknown,0,0.13607628482433046,1.0,ok
fit_train,human_007_clean,,data/phase7c1/raw/human_clean/human_007_clean.wav,human,clean_direct,unknown,0,0.11816675323260191,1.0,ok
fit_train,human_008_clean,,data/phase7c1/raw/human_clean/human_008_clean.wav,human,clean_direct,unknown,0,0.1629992445807845,1.0,ok
fit_train,human_011_clean,,data/phase7c1/raw/human_clean/human_011_clean.wav,human,clean_direct,unknown,0,0.1826402224115176,1.0,ok
fit_train,human_011_replay_laptop_mobile,,data/phase7c1/raw/human_replay/human_011_replay_laptop_mobile.wav,human,human_replay,unknown,0,0.45425901448874834,1.0,ok
fit_train,human_018_replay_laptop_mobile,,data/phase7c1/raw/human_replay/human_018_replay_laptop_mobile.wav,human,human_replay,unknown,0,0.18334608073712952,1.0,ok
fit_train,human_023_clean,,data/phase7c1/raw/human_clean/human_023_clean.wav,human,clean_direct,unknown,0,0.16589265633065867,1.0,ok
train_original,ai_001_replay_laptop_mobile,,data/phase7c1/raw/ai_repeat/ai_001_replay_laptop_mobile.wav,ai,ai_replay,unknown,0,0.10171046009725132,1.0,ok
train_original,ai_004_replay_laptop_mobile,,data/phase7c1/raw/ai_repeat/ai_004_replay_laptop_mobile.wav,ai,ai_replay,unknown,0,0.13607628482433046,1.0,ok
train_original,human_007_clean,,data/phase7c1/raw/human_clean/human_007_clean.wav,human,clean_direct,unknown,0,0.11816675323260191,1.0,ok
train_original,human_008_clean,,data/phase7c1/raw/human_clean/human_008_clean.wav,human,clean_direct,unknown,0,0.1629992445807845,1.0,ok
train_original,human_011_clean,,data/phase7c1/raw/human_clean/human_011_clean.wav,human,clean_direct,unknown,0,0.1826402224115176,1.0,ok
train_original,human_011_replay_laptop_mobile,,data/phase7c1/raw/human_replay/human_011_replay_laptop_mobile.wav,human,human_replay,unknown,0,0.45425901448874834,1.0,ok
train_original,human_018_replay_laptop_mobile,,data/phase7c1/raw/human_replay/human_018_replay_laptop_mobile.wav,human,human_replay,unknown,0,0.18334608073712952,1.0,ok
train_original,human_023_clean,,data/phase7c1/raw/human_clean/human_023_clean.wav,human,clean_direct,unknown,0,0.16589265633065867,1.0,ok
dev,human_012_replay_laptop_mobile,,data/phase7c1/raw/human_replay/human_012_replay_laptop_mobile.wav,human,human_replay,unknown,0,0.6984217342072363,1.0,ok
dev,human_015_clean,,data/phase7c1/raw/human_clean/human_015_clean.wav,human,clean_direct,unknown,0,0.9293838043036453,1.0,ok
dev,human_022_replay_laptop_mobile,,data/phase7c1/raw/human_replay/human_022_replay_laptop_mobile.wav,human,human_replay,unknown,0,0.9978044348260745,1.0,ok
test,human_002_clean,,data/phase7c1/raw/human_clean/human_002_clean.wav,human,clean_direct,unknown,0,0.10857837024634891,1.0,ok
test,ai_005_replay_laptop_mobile,,data/phase7c1/raw/ai_repeat/ai_005_replay_laptop_mobile.wav,ai,ai_replay,unknown,0,0.13318038534948792,1.0,ok
test,human_009_clean,,data/phase7c1/raw/human_clean/human_009_clean.wav,human,clean_direct,unknown,0,0.5960050248843223,1.0,ok
test,human_021_replay_laptop_mobile,,data/phase7c1/raw/human_replay/human_021_replay_laptop_mobile.wav,human,human_replay,unknown,0,0.26574737211780564,1.0,ok
testing_audios,,T2.2,testing_audios/T2/T2.2.mp3,human,mixer_processed,urdu,1,0.0009846430238139455,0.0,ok
testing_audios,,T3.2,testing_audios/T3/T3.2.mp3,ai,ai_replay,english,0,0.11908073671108213,1.0,ok
testing_audios,,T3.4,testing_audios/T3/T3.4.mp3,ai,mixer_processed,english,1,0.003356242959575764,0.0,ok
testing_audios,,T4.1,testing_audios/T4/T4.1.mp3,human,clean_direct,english,0,0.25381587163386227,1.0,ok
