selected_feature,anova_f_score
ssl_emb_442,255.70978913376615
ssl_emb_690,250.448336763183
ssl_emb_671,244.56297651511147
ssl_emb_223,225.68407200083698
ssl_emb_407,219.01573531552356
ssl_emb_481,192.71312051183185
ssl_emb_324,189.66233356091522
ssl_emb_506,185.5145534116606
ssl_emb_288,170.6260768016362
ssl_emb_200,160.3482677806916
ssl_emb_246,159.77684410434236
ssl_emb_473,159.7498116592619
ssl_emb_617,157.0360334394869
ssl_emb_719,155.4781568676484
ssl_emb_320,144.92599398939592
ssl_emb_066,133.21427385491876
ssl_emb_171,133.1726635270689
ssl_emb_598,130.4563601925374
ssl_emb_241,128.29793929548177
ssl_emb_339,123.63948466179119
ssl_emb_451,120.99692864402671
ssl_emb_217,116.98697590846015
ssl_emb_104,115.80587902174751
ssl_emb_332,115.51938408590684
ssl_emb_135,111.46363125421203
ssl_emb_038,109.50005579048316
ssl_emb_491,106.81280925872214
ssl_emb_765,106.58166212267767
ssl_emb_346,106.35987441729544
ssl_emb_652,105.17715461270842
ssl_emb_696,102.64349406301025
ssl_emb_380,100.8331629977787
ssl_emb_464,100.62424165263266
ssl_emb_419,98.96055234539185
ssl_emb_575,97.58799290160718
ssl_emb_206,96.75663510065144
ssl_emb_039,95.14806687361151
ssl_emb_060,94.092132250825
ssl_emb_399,92.40456587421664
ssl_emb_138,90.86249413153429
ssl_emb_489,89.44765396248543
ssl_emb_549,89.14277570509881
ssl_emb_263,88.09020029609366
ssl_emb_351,87.98461715220546
ssl_emb_526,86.06918444911933
ssl_emb_682,84.58204870943968
ssl_emb_199,83.07715325472147
ssl_emb_572,82.03401860005836
ssl_emb_565,81.35662289341971
ssl_emb_555,81.20138877808964
