file_id,source_file_id,source_audio_path,augmented_audio_path,audit_condition,origin_target_processed_ai,codec_rate,snr_db,gain
phase7c1_collection_manifest_000000_ai_001_direct__aug_codec_noise_gain_v1,phase7c1_collection_manifest_000000_ai_001_direct,data/phase7c1/raw/ai_direct/ai_001_direct.wav,E:\FYP\reports\release_audit\origin_retrain_processed_ai_augmented_2026-06-13\augmented_audio\phase7c1_collection_manifest_000000_ai_001_direct__aug_codec_noise_gain_v1.wav,ai_clean_direct,1,8000,24.555798553119,1.110479052838775
phase7c1_collection_manifest_000002_ai_001_mixer_processed__aug_codec_noise_gain_v1,phase7c1_collection_manifest_000002_ai_001_mixer_processed,data/phase7c1/raw/ai_mixer/ai_001_mixer_processed.wav,E:\FYP\reports\release_audit\origin_retrain_processed_ai_augmented_2026-06-13\augmented_audio\phase7c1_collection_manifest_000002_ai_001_mixer_processed__aug_codec_noise_gain_v1.wav,ai_mixer_processed,1,12000,22.03390421684958,0.983338067243392
phase7c1_collection_manifest_000003_ai_001_replay_laptop_mobile__aug_codec_noise_gain_v1,phase7c1_collection_manifest_000003_ai_001_replay_laptop_mobile,data/phase7c1/raw/ai_repeat/ai_001_replay_laptop_mobile.wav,E:\FYP\reports\release_audit\origin_retrain_processed_ai_augmented_2026-06-13\augmented_audio\phase7c1_collection_manifest_000003_ai_001_replay_laptop_mobile__aug_codec_noise_gain_v1.wav,ai_replayed,1,12000,24.735279477461606,1.0916405477542348
phase7c1_collection_manifest_000004_human_001_clean__aug_codec_noise_gain_v1,phase7c1_collection_manifest_000004_human_001_clean,data/phase7c1/raw/human_clean/human_001_clean.wav,E:\FYP\reports\release_audit\origin_retrain_processed_ai_augmented_2026-06-13\augmented_audio\phase7c1_collection_manifest_000004_human_001_clean__aug_codec_noise_gain_v1.wav,human_clean,0,8000,25.405445718896175,1.097654957319928
phase7c1_collection_manifest_000006_human_001_mixer_processed__aug_codec_noise_gain_v1,phase7c1_collection_manifest_000006_human_001_mixer_processed,data/phase7c1/raw/human_mixer/human_001_mixer_processed.wav,E:\FYP\reports\release_audit\origin_retrain_processed_ai_augmented_2026-06-13\augmented_audio\phase7c1_collection_manifest_000006_human_001_mixer_processed__aug_codec_noise_gain_v1.wav,human_mixer_processed,0,8000,18.447990964458427,1.0462441802174693
phase7c1_collection_manifest_000007_human_001_replay_laptop_mobile__aug_codec_noise_gain_v1,phase7c1_collection_manifest_000007_human_001_replay_laptop_mobile,data/phase7c1/raw/human_replay/human_001_replay_laptop_mobile.wav,E:\FYP\reports\release_audit\origin_retrain_processed_ai_augmented_2026-06-13\augmented_audio\phase7c1_collection_manifest_000007_human_001_replay_laptop_mobile__aug_codec_noise_gain_v1.wav,human_replayed,0,12000,22.69083254248386,0.8968421529282331
phase7c1_collection_manifest_000024_ai_004_direct__aug_codec_noise_gain_v1,phase7c1_collection_manifest_000024_ai_004_direct,data/phase7c1/raw/ai_direct/ai_004_direct.wav,E:\FYP\reports\release_audit\origin_retrain_processed_ai_augmented_2026-06-13\augmented_audio\phase7c1_collection_manifest_000024_ai_004_direct__aug_codec_noise_gain_v1.wav,ai_clean_direct,1,12000,25.729701912047865,0.8765523974233224
phase7c1_collection_manifest_000026_ai_004_mixer_processed__aug_codec_noise_gain_v1,phase7c1_collection_manifest_000026_ai_004_mixer_processed,data/phase7c1/raw/ai_mixer/ai_004_mixer_processed.wav,E:\FYP\reports\release_audit\origin_retrain_processed_ai_augmented_2026-06-13\augmented_audio\phase7c1_collection_manifest_000026_ai_004_mixer_processed__aug_codec_noise_gain_v1.wav,ai_mixer_processed,1,12000,18.783507603730843,0.9368099970617813
phase7c1_collection_manifest_000027_ai_004_replay_laptop_mobile__aug_codec_noise_gain_v1,phase7c1_collection_manifest_000027_ai_004_replay_laptop_mobile,data/phase7c1/raw/ai_repeat/ai_004_replay_laptop_mobile.wav,E:\FYP\reports\release_audit\origin_retrain_processed_ai_augmented_2026-06-13\augmented_audio\phase7c1_collection_manifest_000027_ai_004_replay_laptop_mobile__aug_codec_noise_gain_v1.wav,ai_replayed,1,12000,18.103697008111844,0.9197368858123819
phase7c1_collection_manifest_000028_human_004_clean__aug_codec_noise_gain_v1,phase7c1_collection_manifest_000028_human_004_clean,data/phase7c1/raw/human_clean/human_004_clean.wav,E:\FYP\reports\release_audit\origin_retrain_processed_ai_augmented_2026-06-13\augmented_audio\phase7c1_collection_manifest_000028_human_004_clean__aug_codec_noise_gain_v1.wav,human_clean,0,12000,20.50212140809512,0.8960848341557149
