test_id,partial_ui_state,partial_show_segments_table,partial_segments_listed,partial_block_reason,evidence_sources
T1.1,detected,True,5,none,ssl_origin_model
T1.2,not_detected,False,0,global_activation_not_localized,ssl_origin_model
T1.3,not_detected,False,0,global_activation_not_localized,ssl_origin_model
T1.4,not_detected,False,0,global_activation_not_localized,ssl_origin_model
T1.5,not_detected,False,0,global_activation_not_localized,ssl_origin_model
T2.1,not_detected,False,0,blocked_by_replay_or_mixer_context,ssl_origin_model
T2.2,detected,True,5,none,ssl_origin_model
T2.3,detected,True,5,none,ssl_origin_model
T2.4,not_detected,False,0,blocked_by_replay_or_mixer_context,ssl_origin_model
T2.5,detected,True,5,none,ssl_origin_model
T3.1,not_detected,False,0,global_activation_not_localized,ssl_origin_model
T3.2,detected,True,5,none,ssl_origin_model
T3.3,detected,True,5,none,ssl_origin_model
T3.4,not_detected,False,0,blocked_by_replay_or_mixer_context,ssl_origin_model
T3.5,not_detected,False,0,blocked_by_replay_or_mixer_context,ssl_origin_model
T4.1,not_detected,False,0,blocked_by_replay_or_mixer_context,ssl_origin_model
T4.2,not_detected,False,0,global_activation_not_localized,ssl_origin_model
T4.3,not_detected,False,0,global_activation_not_localized,ssl_origin_model
T4.5,not_detected,False,0,global_activation_not_localized,ssl_origin_model
T5.1,detected,True,5,none,ssl_origin_model
T5.2,not_detected,False,0,global_activation_not_localized,ssl_origin_model
T5.3,detected,True,5,none,ssl_origin_model
T5.4,detected,True,5,none,ssl_origin_model
T5.5,detected,True,5,none,ssl_origin_model
T5_FAB_001,detected,True,5,none,ssl_origin_model
