scope,n,tp,tn,fp,fn,accuracy,balanced_accuracy,precision,recall,specificity,fpr,fnr,f1,roc_auc,pr_auc,variant,dataset,split
phase7_dev,40,20,20,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,ssl_16k_direct,phase7,dev
phase7_test,40,18,20,0,2,0.95,0.95,1.0,0.9,1.0,0.0,0.1,0.9473684210526315,1.0,1.0,ssl_16k_direct,phase7,test
phase7_train,104,52,52,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,ssl_16k_direct,phase7,train
phase7_all_origin_training_scope,138,67,69,0,2,0.9855072463768116,0.9855072463768115,1.0,0.9710144927536232,1.0,0.0,0.028985507246376812,0.9852941176470589,1.0,0.9999999999999999,ssl_16k_direct,phase7,origin_training_scope
testing_audios,25,9,12,3,1,0.84,0.8500000000000001,0.75,0.9,0.8,0.2,0.1,0.8181818181818182,0.8600000000000001,0.7218831168831169,ssl_16k_direct,testing_audios,all
phase7_dev,40,19,20,0,1,0.975,0.975,1.0,0.95,1.0,0.0,0.05,0.9743589743589743,0.9849999999999999,0.9884615384615385,ssl_chain_8k_16k,phase7,dev
phase7_test,40,17,20,0,3,0.925,0.925,1.0,0.85,1.0,0.0,0.15,0.918918918918919,0.9974999999999999,0.9976190476190476,ssl_chain_8k_16k,phase7,test
phase7_train,104,49,52,0,3,0.9711538461538461,0.9711538461538461,1.0,0.9423076923076923,1.0,0.0,0.057692307692307696,0.9702970297029703,1.0,1.0,ssl_chain_8k_16k,phase7,train
phase7_all_origin_training_scope,138,62,69,0,7,0.9492753623188406,0.9492753623188406,1.0,0.8985507246376812,1.0,0.0,0.10144927536231885,0.9465648854961832,0.9985297206469229,0.9985526181054294,ssl_chain_8k_16k,phase7,origin_training_scope
testing_audios,24,8,12,2,2,0.8333333333333334,0.8285714285714285,0.8,0.8,0.8571428571428571,0.14285714285714285,0.2,0.8,0.9214285714285714,0.8942968142968143,ssl_chain_8k_16k,testing_audios,all
phase7_dev,40,20,20,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,ssl_chain_12k_16k,phase7,dev
phase7_test,40,18,20,0,2,0.95,0.95,1.0,0.9,1.0,0.0,0.1,0.9473684210526315,1.0,1.0,ssl_chain_12k_16k,phase7,test
phase7_train,104,52,52,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,ssl_chain_12k_16k,phase7,train
phase7_all_origin_training_scope,138,67,69,0,2,0.9855072463768116,0.9855072463768115,1.0,0.9710144927536232,1.0,0.0,0.028985507246376812,0.9852941176470589,0.9995799201848352,0.9995829207549434,ssl_chain_12k_16k,phase7,origin_training_scope
testing_audios,24,8,12,2,2,0.8333333333333334,0.8285714285714285,0.8,0.8,0.8571428571428571,0.14285714285714285,0.2,0.8,0.9,0.8596753246753246,ssl_chain_12k_16k,testing_audios,all
phase7_dev,40,20,20,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,ssl_chain_22_05k_16k,phase7,dev
phase7_test,40,18,20,0,2,0.95,0.95,1.0,0.9,1.0,0.0,0.1,0.9473684210526315,1.0,1.0,ssl_chain_22_05k_16k,phase7,test
phase7_train,104,52,52,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,ssl_chain_22_05k_16k,phase7,train
phase7_all_origin_training_scope,138,67,69,0,2,0.9855072463768116,0.9855072463768115,1.0,0.9710144927536232,1.0,0.0,0.028985507246376812,0.9852941176470589,1.0,0.9999999999999999,ssl_chain_22_05k_16k,phase7,origin_training_scope
testing_audios,24,9,12,2,1,0.875,0.8785714285714286,0.8181818181818182,0.9,0.8571428571428571,0.14285714285714285,0.1,0.8571428571428571,0.9214285714285714,0.8937412587412586,ssl_chain_22_05k_16k,testing_audios,all
phase7_dev,40,20,20,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,ssl_chain_24k_16k,phase7,dev
phase7_test,40,18,20,0,2,0.95,0.95,1.0,0.9,1.0,0.0,0.1,0.9473684210526315,1.0,1.0,ssl_chain_24k_16k,phase7,test
phase7_train,104,52,52,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,ssl_chain_24k_16k,phase7,train
phase7_all_origin_training_scope,138,67,69,0,2,0.9855072463768116,0.9855072463768115,1.0,0.9710144927536232,1.0,0.0,0.028985507246376812,0.9852941176470589,1.0,0.9999999999999999,ssl_chain_24k_16k,phase7,origin_training_scope
testing_audios,24,9,12,2,1,0.875,0.8785714285714286,0.8181818181818182,0.9,0.8571428571428571,0.14285714285714285,0.1,0.8571428571428571,0.9214285714285714,0.8937412587412586,ssl_chain_24k_16k,testing_audios,all
phase7_dev,40,19,20,0,1,0.975,0.975,1.0,0.95,1.0,0.0,0.05,0.9743589743589743,0.9849999999999999,0.9884615384615385,ssl_roundtrip_16_8_16,phase7,dev
phase7_test,40,17,20,0,3,0.925,0.925,1.0,0.85,1.0,0.0,0.15,0.918918918918919,0.9974999999999999,0.9976190476190476,ssl_roundtrip_16_8_16,phase7,test
phase7_train,104,49,52,0,3,0.9711538461538461,0.9711538461538461,1.0,0.9423076923076923,1.0,0.0,0.057692307692307696,0.9702970297029703,1.0,1.0,ssl_roundtrip_16_8_16,phase7,train
phase7_all_origin_training_scope,138,62,69,0,7,0.9492753623188406,0.9492753623188406,1.0,0.8985507246376812,1.0,0.0,0.10144927536231885,0.9465648854961832,0.9985297206469229,0.9985526181054294,ssl_roundtrip_16_8_16,phase7,origin_training_scope
testing_audios,24,8,12,2,2,0.8333333333333334,0.8285714285714285,0.8,0.8,0.8571428571428571,0.14285714285714285,0.2,0.8,0.9214285714285714,0.8942968142968143,ssl_roundtrip_16_8_16,testing_audios,all
