scope,n,tp,tn,fp,fn,accuracy,balanced_accuracy,precision,recall,specificity,fpr,fnr,f1,roc_auc,pr_auc,aggregator,dataset,split
phase7_train,104,52.0,52.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,file_mean_ssl,phase7,train
phase7_dev,40,20.0,20.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,file_mean_ssl,phase7,dev
phase7_test,40,18.0,20.0,0.0,2.0,0.95,0.95,1.0,0.9,1.0,0.0,0.1,0.9473684210526315,1.0,1.0,file_mean_ssl,phase7,test
phase7_all,184,90.0,92.0,0.0,2.0,0.9891304347826086,0.9891304347826086,1.0,0.9782608695652174,1.0,0.0,0.021739130434782608,0.989010989010989,0.9997637051039697,0.9997649755066366,file_mean_ssl,phase7,all
testing_audios,0,,,,,,,,,,,,,,,file_mean_ssl,testing_audios,all
phase7_train,104,52.0,39.0,13.0,0.0,0.875,0.875,0.8,1.0,0.75,0.25,0.0,0.8888888888888888,0.8653846153846153,0.7540494512460201,segment_max_prob,phase7,train
phase7_dev,40,19.0,13.0,7.0,1.0,0.8,0.8,0.7307692307692307,0.95,0.65,0.35,0.05,0.8260869565217391,0.8725,0.860370614407379,segment_max_prob,phase7,dev
phase7_test,40,19.0,15.0,5.0,1.0,0.85,0.85,0.7916666666666666,0.95,0.75,0.25,0.05,0.8636363636363636,0.905,0.8441149231745206,segment_max_prob,phase7,test
phase7_all,184,90.0,67.0,25.0,2.0,0.8532608695652174,0.8532608695652174,0.782608695652174,0.9782608695652174,0.7282608695652174,0.2717391304347826,0.021739130434782608,0.8695652173913043,0.8757088846880907,0.7867231489586446,segment_max_prob,phase7,all
testing_audios,0,,,,,,,,,,,,,,,segment_max_prob,testing_audios,all
phase7_train,104,49.0,41.0,11.0,3.0,0.8653846153846154,0.8653846153846154,0.8166666666666667,0.9423076923076923,0.7884615384615384,0.21153846153846154,0.057692307692307696,0.875,0.9178994082840237,0.8448798736871163,segment_top3_mean_prob,phase7,train
phase7_dev,40,18.0,14.0,6.0,2.0,0.8,0.8,0.75,0.9,0.7,0.3,0.1,0.8181818181818182,0.9149999999999999,0.9130922580470636,segment_top3_mean_prob,phase7,dev
phase7_test,40,19.0,17.0,3.0,1.0,0.9,0.8999999999999999,0.8636363636363636,0.95,0.85,0.15,0.05,0.9047619047619048,0.925,0.9044991223087198,segment_top3_mean_prob,phase7,test
phase7_all,184,86.0,72.0,20.0,6.0,0.8586956521739131,0.8586956521739131,0.8113207547169812,0.9347826086956522,0.782608695652174,0.21739130434782608,0.06521739130434782,0.8686868686868687,0.9209593572778827,0.8844310735377177,segment_top3_mean_prob,phase7,all
testing_audios,0,,,,,,,,,,,,,,,segment_top3_mean_prob,testing_audios,all
phase7_train,104,52.0,37.0,15.0,0.0,0.8557692307692307,0.8557692307692308,0.7761194029850746,1.0,0.7115384615384616,0.28846153846153844,0.0,0.8739495798319328,0.9842825443786982,0.9748343768219255,segment_noisy_or_max,phase7,train
phase7_dev,40,20.0,11.0,9.0,0.0,0.775,0.775,0.6896551724137931,1.0,0.55,0.45,0.0,0.8163265306122449,0.9575,0.935602593440122,segment_noisy_or_max,phase7,dev
phase7_test,40,20.0,14.0,6.0,0.0,0.85,0.85,0.7692307692307693,1.0,0.7,0.3,0.0,0.8695652173913043,0.9924999999999999,0.9934782608695651,segment_noisy_or_max,phase7,test
phase7_all,184,92.0,62.0,30.0,0.0,0.8369565217391305,0.8369565217391304,0.7540983606557377,1.0,0.6739130434782609,0.32608695652173914,0.0,0.8598130841121495,0.9801512287334594,0.9695269561511182,segment_noisy_or_max,phase7,all
testing_audios,0,,,,,,,,,,,,,,,segment_noisy_or_max,testing_audios,all
