experiment,variant,threshold,phase7_test_balanced_accuracy,phase7_test_recall,phase7_test_fpr,testing_audios_balanced_accuracy,testing_audios_recall,testing_audios_fpr,resumed_from_disk,aggregator,axis,feature_mode,n_train,n_features,selected_k
3A,ssl_16k_direct,0.92,0.95,0.9,0.0,0.8500000000000001,0.9,0.2,True,,,,,,
3A,ssl_chain_8k_16k,0.92,0.925,0.85,0.0,0.8285714285714285,0.8,0.1428571428571428,True,,,,,,
3A,ssl_chain_12k_16k,0.92,0.95,0.9,0.0,0.8285714285714285,0.8,0.1428571428571428,True,,,,,,
3A,ssl_chain_22_05k_16k,0.92,0.95,0.9,0.0,0.8785714285714286,0.9,0.1428571428571428,True,,,,,,
3A,ssl_chain_24k_16k,0.92,0.95,0.9,0.0,0.8785714285714286,0.9,0.1428571428571428,True,,,,,,
3A,ssl_roundtrip_16_8_16,0.92,0.925,0.85,0.0,0.8285714285714285,0.8,0.1428571428571428,True,,,,,,
3B,,0.92,0.95,,0.0,,,,,file_mean_ssl,,,,,
3B,,0.92,0.85,,0.25,,,,,segment_max_prob,,,,,
3B,,0.92,0.8999999999999999,,0.15,,,,,segment_top3_mean_prob,,,,,
3B,,0.92,0.85,,0.3,,,,,segment_noisy_or_max,,,,,
3C,,,0.9666666666666668,,0.0666666666666666,0.5634920634920635,,0.4444444444444444,,,replay,baseline,144.0,59.0,20.0
3C,,,1.0,,0.0,0.4565217391304347,,0.0869565217391304,,,mixer,baseline,144.0,59.0,20.0
3C,,,0.9666666666666668,,0.0666666666666666,0.5634920634920635,,0.4444444444444444,,,replay,dual,144.0,61.0,20.0
3C,,,1.0,,0.0,0.4565217391304347,,0.0869565217391304,,,mixer,dual,144.0,61.0,20.0
