min_confidence,n,accuracy,unknown_rate
0.4,14,0.7857142857142857,0.0
0.35,14,0.7857142857142857,0.0
0.45,14,0.7142857142857143,0.07142857142857142
0.5,14,0.7142857142857143,0.14285714285714285
0.55,14,0.6428571428571429,0.21428571428571427
0.6,14,0.5714285714285714,0.2857142857142857
0.7,14,0.5,0.35714285714285715
0.65,14,0.5,0.35714285714285715
0.75,14,0.42857142857142855,0.42857142857142855
0.8,14,0.2857142857142857,0.5714285714285714
0.9,14,0.21428571428571427,0.6428571428571429
0.85,14,0.21428571428571427,0.6428571428571429
0.95,14,0.14285714285714285,0.7142857142857143
