file_id,leakage_safe_split
phase7c1_collection_manifest_000000_ai_001_direct,train
phase7c1_collection_manifest_000001_ai_001_fabricated,train
phase7c1_collection_manifest_000002_ai_001_mixer_processed,train
phase7c1_collection_manifest_000003_ai_001_replay_laptop_mobile,train
phase7c1_collection_manifest_000004_human_001_clean,train
phase7c1_collection_manifest_000005_human_001_fabricated,train
phase7c1_collection_manifest_000006_human_001_mixer_processed,train
phase7c1_collection_manifest_000007_human_001_replay_laptop_mobile,train
phase7c1_collection_manifest_000008_ai_002_direct,test
phase7c1_collection_manifest_000009_ai_002_fabricated,test
phase7c1_collection_manifest_000010_ai_002_mixer_processed,test
phase7c1_collection_manifest_000011_ai_002_replay_laptop_mobile,test
phase7c1_collection_manifest_000012_human_002_clean,test
phase7c1_collection_manifest_000013_human_002_fabricated,test
phase7c1_collection_manifest_000014_human_002_mixer_processed,test
phase7c1_collection_manifest_000015_human_002_replay_laptop_mobile,test
phase7c1_collection_manifest_000016_ai_003_direct,dev
phase7c1_collection_manifest_000017_ai_003_fabricated,dev
phase7c1_collection_manifest_000018_ai_003_mixer_processed,dev
phase7c1_collection_manifest_000019_ai_003_replay_laptop_mobile,dev
phase7c1_collection_manifest_000020_human_003_clean,dev
phase7c1_collection_manifest_000021_human_003_fabricated,dev
phase7c1_collection_manifest_000022_human_003_mixer_processed,dev
phase7c1_collection_manifest_000023_human_003_replay_laptop_mobile,dev
phase7c1_collection_manifest_000024_ai_004_direct,train
phase7c1_collection_manifest_000025_ai_004_fabricated,train
phase7c1_collection_manifest_000026_ai_004_mixer_processed,train
phase7c1_collection_manifest_000027_ai_004_replay_laptop_mobile,train
phase7c1_collection_manifest_000028_human_004_clean,train
phase7c1_collection_manifest_000029_human_004_fabricated,train
phase7c1_collection_manifest_000030_human_004_mixer_processed,train
phase7c1_collection_manifest_000031_human_004_replay_laptop_mobile,train
phase7c1_collection_manifest_000032_ai_005_direct,test
phase7c1_collection_manifest_000033_ai_005_fabricated,test
phase7c1_collection_manifest_000034_ai_005_mixer_processed,test
phase7c1_collection_manifest_000035_ai_005_replay_laptop_mobile,test
phase7c1_collection_manifest_000036_human_005_clean,test
phase7c1_collection_manifest_000037_human_005_fabricated,test
phase7c1_collection_manifest_000038_human_005_mixer_processed,test
phase7c1_collection_manifest_000039_human_005_replay_laptop_mobile,test
phase7c1_collection_manifest_000040_ai_006_direct,dev
phase7c1_collection_manifest_000041_ai_006_fabricated,dev
phase7c1_collection_manifest_000042_ai_006_mixer_processed,dev
phase7c1_collection_manifest_000043_ai_006_replay_laptop_mobile,dev
phase7c1_collection_manifest_000044_human_006_clean,dev
phase7c1_collection_manifest_000045_human_006_fabricated,dev
phase7c1_collection_manifest_000046_human_006_mixer_processed,dev
phase7c1_collection_manifest_000047_human_006_replay_laptop_mobile,dev
phase7c1_collection_manifest_000048_ai_007_direct,train
phase7c1_collection_manifest_000049_ai_007_fabricated,train
phase7c1_collection_manifest_000050_ai_007_mixer_processed,train
phase7c1_collection_manifest_000051_ai_007_replay_laptop_mobile,train
phase7c1_collection_manifest_000052_human_007_clean,train
phase7c1_collection_manifest_000053_human_007_fabricated,train
phase7c1_collection_manifest_000054_human_007_mixer_processed,train
phase7c1_collection_manifest_000055_human_007_replay_laptop_mobile,train
phase7c1_collection_manifest_000056_ai_008_direct,train
phase7c1_collection_manifest_000057_ai_008_fabricated,train
phase7c1_collection_manifest_000058_ai_008_mixer_processed,train
phase7c1_collection_manifest_000059_ai_008_replay_laptop_mobile,train
phase7c1_collection_manifest_000060_human_008_clean,train
phase7c1_collection_manifest_000061_human_008_fabricated,train
phase7c1_collection_manifest_000062_human_008_mixer_processed,train
phase7c1_collection_manifest_000063_human_008_replay_laptop_mobile,train
phase7c1_collection_manifest_000064_ai_009_direct,test
phase7c1_collection_manifest_000065_ai_009_fabricated,test
phase7c1_collection_manifest_000066_ai_009_mixer_processed,test
phase7c1_collection_manifest_000067_ai_009_replay_laptop_mobile,test
phase7c1_collection_manifest_000068_human_009_clean,test
phase7c1_collection_manifest_000069_human_009_fabricated,test
phase7c1_collection_manifest_000070_human_009_mixer_processed,test
