feature,false_positive_mean_z,phase7_replay_mean_z,phase7_mixer_mean_z,phase7_clean_mean_z,gap_false_positive_vs_phase7_replay_abs,closer_to_replay_than_mixer,closer_to_replay_than_clean
rms_min,0.02002351331208328,2.0277989908117666,0.00029384188559479014,0.013098165050070722,2.0077754774996834,False,False
mfcc_2_mean,0.8044051638485804,-0.9907356337060663,0.5299540257141417,-0.07229866359290858,1.7951407975546467,False,False
spectral_rolloff_mean,-0.36371599361710044,1.4154525757222975,-0.3287603162411359,0.04407660928716308,1.779168569339398,False,False
high_freq_rolloff_ratio,-0.3637159936171006,1.415452575722297,-0.32876031624113594,0.04407660928716297,1.7791685693393977,False,False
spectral_centroid_mean,-0.3788120875036829,1.3165253098871506,-0.3878759178319752,-0.00306946867532589,1.6953373973908334,False,False
spectral_bandwidth_mean,-0.4951984412671273,1.1558375631272502,-0.35015435375438,-0.06357571475854598,1.6510360043943775,False,False
spectral_flatness_mean,-0.30974877720277805,1.3334158831681986,-0.41866952912222205,-0.011580560068998182,1.6431646603709766,False,False
zero_crossing_rate_mean,-0.338996422432176,1.2781386877603926,-0.31592687528044816,-0.12912342771149773,1.6171351101925686,False,False
high_band_energy_ratio,-0.0179682643020178,1.4104480573086782,-0.07994985815474971,0.012702243578313965,1.428416321610696,False,False
bandwidth_occupied_95,-0.08693819593917923,1.306033951026166,-0.19145444816746676,-0.04429329139300779,1.3929721469653453,False,False
noise_floor_proxy,2.55176982910806,1.2306265968254897,0.18841533350473136,-0.5797410750507433,1.3211432322825705,True,True
zero_crossing_rate_std,-1.1138118858937862,0.1966500397769231,-0.7503431600485556,0.5960538726150559,1.3104619256707093,False,True
spectral_flatness_std,-0.8858248189108436,0.2896602176244341,-0.7758640159969643,0.4422232629611595,1.1754850365352778,False,True
mfcc_8_mean,1.2097324388231419,0.1887956955552104,-0.948783671336406,0.5966805551424359,1.0209367432679315,True,False
spectral_centroid_std,-0.9685721739392941,-0.04095271258806506,-0.7257188115566234,0.8460613658457127,0.927619461351229,False,True
mfcc_3_mean,-1.0311657377256032,-0.2131582824679747,-0.4171810344515297,1.1238050493130884,0.8180074552576284,False,True
spectral_entropy_mean,0.469843201970416,1.2806345088609092,-0.27185344055288957,-0.36027085034047046,0.8107913068904933,False,True
mean_amplitude,0.5509376779572063,-0.23512598534619358,0.8147709528820093,-0.2641637054896345,0.7860636633033998,False,True
rms_mean,0.3347096100069835,-0.37320730369551625,0.7508469961255149,-0.22684743330755147,0.7079169137024998,False,False
mfcc_10_mean,0.9270879138789224,0.32591735743937633,-1.183702697594415,0.14535606065446652,0.6011705564395461,True,True
std_amplitude,-0.26898663639343845,-0.8174393210428395,0.5617412504625502,-0.351661729976154,0.548452684649401,True,False
mfcc_12_std,-1.495532529349332,-0.9504230419356017,-0.08343711583200959,0.7777337302132296,0.5451094874137303,True,True
mfcc_7_std,-1.3456427295469593,-0.8310983379622463,-0.044958740697726866,0.9601809863581185,0.514544391584713,True,True
low_band_energy_ratio,-0.8038794379505294,-1.2704663962698621,0.40047221917532644,0.42011915442905884,0.4665869583193327,True,True
peak_amplitude,-0.9546829379751,-0.5403886987225547,0.22961460544836482,0.6411989696139667,0.41429423925254527,True,True
mfcc_3_std,-0.8267781607420103,-0.41992454735703355,-0.42242901104662306,1.0662291135935889,0.4068536133849767,False,True
mfcc_6_mean,0.6478607015427365,0.24102008626069846,-0.9923267203520227,0.6458877301445615,0.40684061528203797,True,False
mfcc_11_mean,-0.03037422707883512,-0.4182846301508726,-0.4314147730069947,0.9656224211846329,0.38791040307203745,True,True
mfcc_8_std,-1.1078345045036142,-0.7461938117204404,-0.18546974225506566,0.8570187428808,0.3616406927831738,True,True
mfcc_11_std,-1.0799951471816072,-0.7241264366121859,0.29799059791748217,0.8466050719494483,0.35586871056942126,True,True
mfcc_6_std,-1.1791690426476293,-0.8268661682258802,0.36428410107648096,0.6753403212248275,0.3523028744217491,True,True
mfcc_13_mean,0.21577870190630222,-0.1303563448814618,-0.47182682041203844,1.1513375704302014,0.346135046787764,True,True
mfcc_12_mean,0.5867779188694097,0.26450091097414213,-0.7860784356652829,0.06930271985160577,0.32227700789526753,True,True
mfcc_1_std,-0.2022234361976202,-0.4981311248577512,0.05022162212467185,1.3575738039147551,0.29590768866013095,False,True
spectral_contrast_mean,-0.6244806338625921,-0.9019290345479346,0.8622000547832497,0.19492364332776407,0.2774484006853425,True,True
mfcc_2_std,-0.6928085235962239,-0.4189895671302205,-0.18886061845170057,1.120203870229073,0.2738189564660034,True,True
mfcc_5_mean,-1.0799484168838396,-0.8243395000183736,-0.11174195049290706,0.2679995315187277,0.25560891686546594,True,True
spectral_bandwidth_std,-0.3351784322947717,-0.5868457885741099,-0.005979349018647616,1.4051997029945449,0.2516673562793382,True,True
spectral_contrast_std,-1.350716157609977,-1.1267010058287663,0.31179221884050995,0.9288126447947207,0.2240151517812108,True,True
mfcc_10_std,-0.9048724365189463,-0.6868933404665967,0.16575462415284975,1.0491793092031592,0.21797909605234966,True,True
mid_band_energy_ratio,0.9475727514828737,0.7362734870002717,-0.43656145939588736,-0.5089963813064631,0.21129926448260195,True,True
mfcc_5_std,-0.9086674902658066,-0.7351211586419933,-0.06808000443591115,0.9213812360778262,0.17354633162381328,True,True
rms_std,-1.4483548036367082,-1.27617334439238,0.45276486639076924,-0.12460102136471747,0.17218145924432826,True,True
spectral_entropy_std,-0.9555120820533238,-1.1072883479251217,0.07061258666285444,0.5607826116501738,0.15177626587179782,True,True
mfcc_4_std,-1.3943522074759203,-1.2486036125053452,-0.04256689220935432,0.5866456601782937,0.14574859497057502,True,True
